Short name,,4G_ECGI,MV_RRC Setup Success Rate [CDBH],ERAB Setup Success Rate [CDBH],MV_PS Drop Call Rate % [CDBH],MV_UL User Throughput_Kbps [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_E-UTRAN Average CQI [CDBH],MV_PS handover success rate [LTE Intra System] [CDBH],MV_PS handover success rate [LTE Inter System] [CDBH],MV_CSFB Redirection Success Rate [CDBH],Paging record discarded At eNodeB [CDBH],MV_Average number of used DL PRBs [CDBH],MV_VoLTE ERAB Setup Success Rate [CBBH],MV_VoLTE DCR [CBBH],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],VoLTE SRVCC SR [CBBH],MV_PUSCH SINR [CBBH],MV_VoLTE IntraF HOSR Exec [CBBH],MV_VoLTE InterF HOSR Exec [CBBH],MV_VoLTE SRVCC Per Call Rate [CBBH],UL RSSI,MV_4G Data Volume_GB,MV_VoLTE Traffic,MV_VoLTE SRVCC Per Call Rate_Nom [CBBH],MV_VoLTE SRVCC Per Call Rate_Denom [CBBH],MV_Average number of used UL PRBs [CDBH],TA Sampls > 1.5 Km % [CDBH],VoLTE Packet Loss DL_Nom [CBBH],VoLTE Packet Loss UL_Nom [CBBH],PS handover success rate_NOM [LTE Intra System] [CDBH],PS handover success rate_DENOM [LTE Intra System] [CDBH],PS handover success rate_NOM [LTE Inter System] [CDBH],PS handover success rate_DENOM [LTE Inter System] [CDBH],VoLTE IntraF HOSR Exec_DENOM [CBBH],VoLTE IntraF HOSR Exec_NOM [CBBH],VoLTE InterF HOSR Exec_DENOM [CBBH],VoLTE InterF HOSR Exec_NOM [CBBH]
PB_E_T1_OM_DSYA47A_A,26-Feb-23,404-02-812647-41,99.85,99.67,0.05,769.97,17897.54,11.7,98.94,99.14,100,0,38.62,100,0,0.03,0.03,,,100,100,0,-114.86,54.1557,0.3,0,49,23.22,5.91,,,372,376,115,116,1,1,44,44
,27-Feb-23,404-02-812647-41,100,99.59,0.07,802.5,3944.32,10.02,99.04,98.94,0,0,85.75,100,,0.22,0,,,100,100,0,-114.57,59.535,0.3,0,58,50.84,3.41,,,311,314,93,94,1,1,59,59
,28-Feb-23,404-02-812647-41,100,100,0,621.08,12724.28,10.17,100,98.57,0,0,54.19,100,0,0.14,0.81,,,100,100,0,-115.44,59.9013,0.26,0,45,28.09,2.27,,,168,168,69,70,1,1,43,43
,1-Mar-23,404-02-812647-41,100,99.72,0,696.35,8027.25,10.02,98.94,100,100,0,58.54,100,0,0.33,0.16,,,0,100,0,-114.94,57.4435,0.52,0,43,39.51,2.3,,,375,379,140,140,1,0,40,40
,2-Mar-23,404-02-812647-41,100,100,0,513.03,6326.77,10.12,99.35,100,0,0,63.98,100,0,0.45,0.17,,,100,100,0,-113.12,63.4452,0.41,0,56,32.19,4.61,,,305,307,132,132,2,2,52,52
PB_E_T1_OM_DSYA47B_B,26-Feb-23,404-02-812647-42,99.89,99.88,0,784.6,8687.49,11.05,98.8,99.4,0,0,53.23,100,0,0,0.05,,,100,100,0,-115.14,52.1991,0.78,0,13,45.01,0.34,,,330,334,167,168,1,1,11,11
,27-Feb-23,404-02-812647-42,100,100,0,749.56,9697.46,9.82,99.55,100,0,0,48.22,100,0,0.79,0.27,,,100,100,0,-115.45,48.3982,0.35,0,69,34.77,0.31,,,220,221,48,48,2,2,67,67
,28-Feb-23,404-02-812647-42,100,99.38,0,907.08,20318.82,11.16,99.37,100,100,0,29.08,100,0,0.04,0.11,,,100,100,0,-117.39,56.5523,0.56,0,75,18.28,0.2,,,157,158,32,32,2,2,73,73
,1-Mar-23,404-02-812647-42,100,99.74,0,825.25,12034.74,10.69,98.61,100,100,0,37.58,100,0,0.51,0.99,,,100,100,0,-115.77,50.6089,0.48,0,65,21.6,1.88,,,497,504,206,206,3,3,66,66
,2-Mar-23,404-02-812647-42,100,98.78,0,852.93,10787.37,10.48,98.01,98.98,0,0,56.1,100,0,0.01,0.17,,,,100,0,-113.47,53.9072,0.68,0,27,38.33,1.1,,,295,301,97,98,0,0,25,25
