"Short name",,"2G CGI","SDCCH Blocking Rate [BBH]","SDCCH Drop Call Rate [BBH]","TCH Blocking Rate [BBH]","TCH Drop Call Rate [BBH]","Handover Success Rate [BBH]","RX Quality [BBH]","Total Voice Traffic","Handover Success Rate_Denom [BBH]","Drop Call Rate_Nom [BBH]","Drop Call Rate_Denom [BBH]","Number of TRX [BBH]","ICM%[BBH]","Cell Downtime [sec] [BBH]","TCH Utilization [BBH]","Handover Success Rate_Nom [BBH]"
,"20 Feb 23","404-2-2010-60192",,,,0.84,,96.77,,,,,,,,,
,"21 Feb 23","404-2-2010-60192",,,,1.27,,96.25,,,,,,,,,
"ZTE-PJ3-ZBTAL19C","17 Feb 23","404-2-2010-60193",0.00,0.47,0.00,0.00,98.75,98.67,48.92,160.00,1.00,182.00,3.00,0.21,0.00,59.56,158.00
,"18 Feb 23","404-2-2010-60193",0.00,0.00,0.00,0.18,98.45,98.52,46.46,129.00,0.00,148.00,3.00,0.00,0.00,54.36,127.00
,"19 Feb 23","404-2-2010-60193",0.00,0.46,0.00,0.18,98.70,98.66,3.93,77.00,1.00,75.00,3.00,0.00,0.00,19.00,76.00
,"20 Feb 23","404-2-2010-60193",,,,0.63,,98.22,,,,,,,,,
,"21 Feb 23","404-2-2010-60193",,,,0.67,,98.13,,,,,,,,,
"ZTE-PJ4-ZDKLH39A","17 Feb 23","404-2-2708-64391",0.00,0.33,0.00,0.50,100.00,98.31,68.11,34.00,1.00,185.00,2.00,0.00,0.00,116.95,34.00
,"18 Feb 23","404-2-2708-64391",0.00,0.00,0.00,0.51,92.16,97.96,44.09,51.00,0.00,110.00,2.00,0.00,0.00,71.40,47.00
,"19 Feb 23","404-2-2708-64391",0.00,0.00,0.00,0.18,100.00,96.43,52.16,28.00,0.00,107.00,2.00,0.00,0.00,72.48,28.00
,"20 Feb 23","404-2-2708-64391",0.00,0.43,0.00,0.18,89.29,94.19,52.96,56.00,1.00,130.00,2.00,0.35,0.00,75.43,50.00
,"21 Feb 23","404-2-2708-64391",0.00,0.61,0.00,0.26,100.00,92.42,56.77,26.00,1.00,103.00,2.00,0.18,0.00,93.75,26.00
"ZTE-PJ4-ZDKLH39B","17 Feb 23","404-2-2708-64392",0.00,0.00,0.00,1.45,97.62,97.17,49.29,42.00,0.00,149.00,2.00,0.00,0.00,67.34,41.00
,"18 Feb 23","404-2-2708-64392",0.00,0.59,0.00,0.97,90.16,96.96,56.27,61.00,1.00,110.00,2.00,0.00,0.00,93.25,55.00
,"19 Feb 23","404-2-2708-64392",0.00,0.35,0.00,0.89,100.00,96.42,57.81,57.00,1.00,115.00,2.00,0.00,0.00,86.40,57.00
,"20 Feb 23","404-2-2708-64392",0.00,0.35,0.00,0.59,94.20,96.79,54.31,69.00,1.00,143.00,2.00,0.00,0.00,70.07,65.00
,"21 Feb 23","404-2-2708-64392",0.00,0.23,0.00,0.83,97.22,96.68,51.82,36.00,0.00,80.00,2.00,0.17,0.00,66.86,35.00
"ZTE-PJ4-ZDKLH39C","17 Feb 23","404-2-2708-64393",0.00,0.00,0.00,1.88,90.00,97.73,34.48,40.00,3.00,84.00,2.00,0.38,0.00,58.81,36.00
,"18 Feb 23","404-2-2708-64393",0.00,0.77,0.00,2.44,100.00,97.37,32.14,35.00,0.00,64.00,2.00,0.22,0.00,44.49,35.00
,"19 Feb 23","404-2-2708-64393",0.00,0.00,0.00,2.44,97.37,97.47,35.92,38.00,1.00,35.00,2.00,0.00,0.00,62.93,37.00
,"20 Feb 23","404-2-2708-64393",0.00,0.00,0.00,2.14,89.66,98.11,39.39,29.00,1.00,70.00,2.00,0.08,0.00,72.76,26.00
,"21 Feb 23","404-2-2708-64393",0.00,0.00,0.00,1.43,96.15,98.54,38.28,26.00,2.00,98.00,2.00,0.40,0.00,59.55,25.00
"ZTE-PJ4-ZPLKS01A","17 Feb 23","404-2-2066-28011",0.00,1.71,0.00,1.95,94.74,88.57,105.57,76.00,5.00,287.00,2.00,8.88,0.00,143.28,72.00
,"18 Feb 23","404-2-2066-28011",0.00,1.25,0.00,1.29,100.00,88.76,90.09,40.00,1.00,166.00,2.00,2.87,0.00,121.34,40.00
,"19 Feb 23","404-2-2066-28011",0.00,1.36,0.00,0.91,98.70,88.14,95.29,77.00,0.00,191.00,2.00,2.49,0.00,137.62,76.00
,"20 Feb 23","404-2-2066-28011",0.00,1.14,0.00,0.78,98.21,89.33,102.45,56.00,4.00,158.00,2.00,6.02,0.00,150.80,55.00
,"21 Feb 23","404-2-2066-28011",0.00,1.74,1.06,1.04,88.57,89.53,106.29,70.00,7.00,272.00,2.00,6.51,0.00,176.00,62.00
"ZTE-PJ4-ZPLKS01B","17 Feb 23","404-2-2066-28012",0.00,0.82,7.89,0.82,94.25,96.57,60.39,87.00,1.00,104.00,2.00,0.00,0.00,446.47,82.00
,"18 Feb 23","404-2-2066-28012",0.00,0.47,4.67,0.50,94.67,96.44,54.55,75.00,1.00,140.00,2.00,0.00,0.00,418.18,71.00
,"19 Feb 23","404-2-2066-28012",0.00,2.15,0.81,0.56,97.14,96.89,46.73,70.00,1.00,120.00,2.00,0.00,0.00,371.23,68.00
,"20 Feb 23","404-2-2066-28012",0.00,0.97,6.02,0.84,93.64,97.32,47.65,110.00,1.00,155.00,2.00,0.00,0.00,388.46,103.00
,"21 Feb 23","404-2-2066-28012",0.00,2.82,17.76,0.73,97.18,97.69,59.83,71.00,1.00,122.00,2.00,0.00,0.00,481.69,69.00
"ZTE-PJ4-ZPLKS01C","17 Feb 23","404-2-2066-28013",0.00,2.16,0.00,1.14,97.60,94.32,49.05,125.00,3.00,87.00,2.00,0.00,0.00,73.00,122.00
,"18 Feb 23","404-2-2066-28013",0.00,0.80,0.00,1.86,97.87,93.70,51.06,47.00,0.00,87.00,2.00,0.18,0.00,70.73,46.00
,"19 Feb 23","404-2-2066-28013",0.00,1.09,0.00,1.52,96.67,94.15,50.11,90.00,1.00,107.00,2.00,0.00,0.00,83.82,87.00
,"20 Feb 23","404-2-2066-28013",0.00,0.53,0.00,1.46,97.30,94.18,61.17,37.00,3.00,119.00,2.00,0.00,0.00,71.08,36.00
,"21 Feb 23","404-2-2066-28013",0.00,0.89,0.00,1.15,100.00,94.57,49.80,71.00,0.00,99.00,2.00,0.33,0.00,69.28,71.00
"ZTE-PJ4-ZPLKS01D","17 Feb 23","404-2-2066-28014",0.00,0.00,0.00,0.00,,99.88,0.57,0.00,0.00,10.00,2.00,0.10,0.00,2.21,0.00
,"18 Feb 23","404-2-2066-28014",0.00,0.00,0.00,0.00,,99.90,0.01,0.00,0.00,1.00,2.00,0.00,0.00,0.17,0.00
,"19 Feb 23","404-2-2066-28014",0.00,0.00,0.00,0.00,,99.90,0.04,0.00,0.00,2.00,2.00,0.00,0.00,0.29,0.00
,"20 Feb 23","404-2-2066-28014",0.00,5.88,0.00,0.00,,99.97,0.48,0.00,0.00,8.00,2.00,0.05,0.00,2.54,0.00
,"21 Feb 23","404-2-2066-28014",0.00,0.00,0.00,0.00,,99.96,0.56,0.00,0.00,4.00,2.00,0.00,0.00,3.41,0.00
"ZTE-PJ4-ZPLKS01E","17 Feb 23","404-2-2066-28015",0.00,0.00,0.00,0.00,100.00,99.60,25.66,15.00,0.00,141.00,2.00,1.23,0.00,50.36,15.00
,"18 Feb 23","404-2-2066-28015",0.00,0.00,0.00,0.00,100.00,99.63,14.75,21.00,0.00,18.00,2.00,0.00,0.00,35.89,21.00
,"19 Feb 23","404-2-2066-28015",0.00,0.00,0.00,0.00,100.00,99.72,14.35,8.00,0.00,38.00,2.00,0.00,0.00,25.11,8.00
,"20 Feb 23","404-2-2066-28015",0.00,0.00,0.00,0.00,100.00,99.66,23.73,12.00,0.00,102.00,2.00,0.07,0.00,42.34,12.00
,"21 Feb 23","404-2-2066-28015",0.00,0.00,0.00,0.00,100.00,99.73,24.62,13.00,2.00,93.00,2.00,0.29,0.00,39.57,13.00
