"Short name",,"4G_ECGI","MV_RRC Setup Success Rate [CDBH]","ERAB Setup Success Rate [CDBH]","MV_PS Drop Call Rate % [CDBH]","MV_UL User Throughput_Kbps [CDBH]","MV_DL User Throughput_Kbps [CDBH]","MV_E-UTRAN Average CQI [CDBH]","MV_PS handover success rate [LTE Intra System] [CDBH]","MV_PS handover success rate [LTE Inter System] [CDBH]","MV_CSFB Redirection Success Rate [CDBH]","Paging record discarded At eNodeB [CDBH]","MV_Average number of used DL PRBs [CDBH]","MV_VoLTE ERAB Setup Success Rate [CBBH]","MV_VoLTE DCR [CBBH]","MV_VoLTE Packet Loss DL [CBBH]","MV_VoLTE Packet Loss UL [CBBH]","VoLTE SRVCC SR [CBBH]","MV_PUSCH SINR [CBBH]","MV_VoLTE IntraF HOSR Exec [CBBH]","MV_VoLTE InterF HOSR Exec [CBBH]","MV_VoLTE SRVCC Per Call Rate [CBBH]","UL RSSI","MV_4G Data Volume_GB","MV_VoLTE Traffic","MV_VoLTE SRVCC Per Call Rate_Nom [CBBH]","MV_VoLTE SRVCC Per Call Rate_Denom [CBBH]","MV_Average number of used UL PRBs [CDBH]","TA Sampls > 1.5 Km % [CDBH]","VoLTE Packet Loss DL_Nom [CBBH]","VoLTE Packet Loss UL_Nom [CBBH]","PS handover success rate_NOM [LTE Intra System] [CDBH]","PS handover success rate_DENOM [LTE Intra System] [CDBH]","PS handover success rate_NOM [LTE Inter System] [CDBH]","PS handover success rate_DENOM [LTE Inter System] [CDBH]","VoLTE IntraF HOSR Exec_DENOM [CBBH]","VoLTE IntraF HOSR Exec_NOM [CBBH]","VoLTE InterF HOSR Exec_DENOM [CBBH]","VoLTE InterF HOSR Exec_NOM [CBBH]"
,"4 Mar 23","404-02-914670-22",100.00,100.00,0.02,2401.59,6640.41,8.47,100.00,99.97,100.00,0.00,58.38,100.00,0.35,0.01,0.08,,,100.00,100.00,0.00,-117.20,58.1104,98.33,0.00,181.00,25.85,0.00,,,385.00,385.00,3820.00,3821.00,390.00,390.00,83.00,83.00
"PB_E_F3_OM_CHD670C_C_FDD","28 Feb 23","404-02-914670-23",100.00,100.00,0.03,847.45,8066.60,8.85,98.69,99.95,100.00,0.00,25.80,100.00,0.26,0.01,0.05,,,100.00,98.40,0.00,-117.83,17.8340,83.02,0.00,197.00,9.74,0.00,,,452.00,458.00,1879.00,1880.00,354.00,354.00,188.00,185.00
,"1 Mar 23","404-02-914670-23",100.00,99.96,0.07,1445.46,8177.40,8.12,98.99,99.31,100.00,0.00,29.95,100.00,0.00,0.03,0.06,,,100.00,99.33,0.00,-117.68,21.7400,92.78,0.00,208.00,9.44,0.00,,,589.00,595.00,2452.00,2469.00,617.00,617.00,149.00,148.00
,"2 Mar 23","404-02-914670-23",99.97,99.97,0.10,2750.46,12050.93,9.94,97.38,99.54,100.00,0.00,26.21,100.00,0.00,0.01,0.24,,,100.00,100.00,0.00,-117.68,19.8371,100.15,0.00,294.00,10.49,0.14,,,631.00,648.00,3447.00,3463.00,433.00,433.00,355.00,355.00
,"3 Mar 23","404-02-914670-23",100.00,99.98,0.00,1080.53,12744.39,10.43,96.39,99.51,100.00,0.00,24.05,100.00,0.00,0.01,0.05,,,100.00,99.50,0.00,-117.59,20.9991,92.15,0.00,157.00,7.97,0.35,,,561.00,582.00,3893.00,3912.00,531.00,531.00,201.00,200.00
,"4 Mar 23","404-02-914670-23",100.00,100.00,0.02,2459.25,6810.78,8.54,98.16,99.65,100.00,0.00,31.06,100.00,0.00,0.01,0.05,,,100.00,99.53,0.00,-117.64,23.8717,95.42,0.00,185.00,10.70,0.00,,,640.00,652.00,3090.00,3101.00,388.00,388.00,213.00,212.00
"PB_E_F3_OM_CHR887A_A_FDD","28 Feb 23","404-02-902887-1",,,,,,,,,0.00,,,,,,,,,,,,-120.00,0.0000,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,"1 Mar 23","404-02-902887-1",,,,,,,,,0.00,,,,,,,,,,,,-120.00,0.0000,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,"2 Mar 23","404-02-902887-1",,,,,,,,,0.00,,,,,,,,,,,,-120.00,0.0000,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,"3 Mar 23","404-02-902887-1",,,,,,,,,0.00,,,,,,,,,,,,-120.00,0.0000,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
