Short name,,4G_ECGI,MV_RRC Setup Success Rate [CDBH],ERAB Setup Success Rate [CDBH],MV_PS Drop Call Rate % [CDBH],MV_UL User Throughput_Kbps [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_E-UTRAN Average CQI [CDBH],MV_PS handover success rate [LTE Intra System] [CDBH],MV_PS handover success rate [LTE Inter System] [CDBH],MV_CSFB Redirection Success Rate [CDBH],Paging record discarded At eNodeB [CDBH],MV_Average number of used DL PRBs [CDBH],MV_VoLTE ERAB Setup Success Rate [CBBH],MV_VoLTE DCR [CBBH],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],VoLTE SRVCC SR [CBBH],MV_PUSCH SINR [CBBH],MV_VoLTE IntraF HOSR Exec [CBBH],MV_VoLTE InterF HOSR Exec [CBBH],MV_VoLTE SRVCC Per Call Rate [CBBH],UL RSSI,MV_4G Data Volume_GB,MV_VoLTE Traffic,MV_VoLTE SRVCC Per Call Rate_Nom [CBBH],MV_VoLTE SRVCC Per Call Rate_Denom [CBBH],MV_Average number of used UL PRBs [CDBH],TA Sampls > 1.5 Km % [CDBH],VoLTE Packet Loss DL_Nom [CBBH],VoLTE Packet Loss UL_Nom [CBBH],PS handover success rate_NOM [LTE Intra System] [CDBH],PS handover success rate_DENOM [LTE Intra System] [CDBH],PS handover success rate_NOM [LTE Inter System] [CDBH],PS handover success rate_DENOM [LTE Inter System] [CDBH],VoLTE IntraF HOSR Exec_DENOM [CBBH],VoLTE IntraF HOSR Exec_NOM [CBBH],VoLTE InterF HOSR Exec_DENOM [CBBH],VoLTE InterF HOSR Exec_NOM [CBBH]
,13-Feb-23,404-02-10108-46,99.94,99.8,0.04,2263.17,7088.88,9.18,99.85,,0,0,44.35,100,0,0.05,0.36,,,100,,0,-116.64,36.2549,21.92,0,101,39.45,0.04,,,653,654,0,0,65,65,0,0
PB_E_T1_OM_DKL617A_A,09-Feb-23,--10108-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10-Feb-23,404-02-10108-41,100,99.88,0.06,714.56,6706.27,7.91,98.86,,0,0,57.48,100,0,0.03,0.03,,,97.44,,0,-114.26,28.0471,21.84,0,43,30.22,0.64,,,691,699,0,0,39,38,0,0
,11-Feb-23,404-02-10108-41,99.67,100,0,526.23,7716,8.25,99.37,,0,0,50.63,100,0,0.03,0.05,,,97.3,,0,-114.29,34.3904,9.69,0,57,39.48,5.38,,,629,633,0,0,37,36,0,0
,12-Feb-23,404-02-10108-41,99.63,100,0,729.99,7418.28,8.2,98.9,,0,0,57.92,100,0,0.04,0.13,,,100,,0,-114.37,45.2442,9.74,0,42,31.43,0.6,,,896,906,0,0,32,32,0,0
,13-Feb-23,404-02-10108-41,100,100,0,835.79,6956.71,8.22,98.63,,0,0,51.28,97.87,0,0.04,0.09,,,93.75,,0,-114.17,37.1439,14.69,0,50,32.09,1.67,,,575,583,0,0,32,30,0,0
PB_E_T1_OM_DKL617B_B,09-Feb-23,404-02-10108-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10-Feb-23,404-02-10108-42,100,99.92,0.05,833.25,2294.2,9.36,99.52,,0,0,88.69,100,0,0.17,0.09,,,100,,0,-116.17,39.3039,41.75,0,121,40.34,0,,,823,827,0,0,93,93,0,0
,11-Feb-23,404-02-10108-42,99.94,99.94,0,928.04,2395.95,9.44,99.5,,100,0,83.74,100,0,0.08,0.07,,,100,,0,-116.4,46.5529,34.76,0,121,43.37,0.04,,,802,806,0,0,95,95,0,0
,12-Feb-23,404-02-10108-42,99.82,99.93,0,880.24,3031.49,9.3,99.25,,0,0,81.81,100,0,0.16,0.17,,,100,,0,-115.82,43.5467,28.54,0,82,31.49,0,,,663,668,0,0,57,57,0,0
,13-Feb-23,404-02-10108-42,99.93,100,0,1017.13,2282.11,9.25,99.71,,100,0,91.67,100,0,0.05,0.14,,,100,,0,-116.96,45.3632,33.42,0,127,37.2,0,,,695,697,0,0,63,63,0,0
