Short name,,4G_ECGI,RRC Setup Success Rate [CDBH],ERAB Setup Success Rate [CDBH],PS Drop Call Rate % [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_UL User Throughput_Kbps [CDBH],PS handover success rate [LTE Intra System] [CDBH],PS handover success rate [LTE Inter System] [CDBH],CSFB Redirection Success Rate [CDBH],E-UTRAN Average CQI [CDBH],MV_Average number of used DL PRBs [CDBH],VoLTE ERAB Setup Success Rate [CBBH],VoLTE Drop Call Rate [CBBH]],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],VoLTE SRVCC SR [CBBH],VoLTE Intra-LTE Handover Success Ratio [CBBH],VoLTE Inter-Frequency Handover Success Ratio [CBBH],UL RSSI [CBBH],MV_4G Data Volume_GB,VoLTE Traffic,Radio NW Availability
,27-Apr-23,404-02-700209-22,99.35,99.26,0.04,8199.7,973.21,98.87,98.67,100,9.27,52.27,97.35,0.53,0.08,0.03,,98.11,95.92,-96.25,49.88,45.38,66.67
PB_E_F3_HS_ULD209C_C,23-Apr-23,404-02-700209-23,99.67,90.76,0.45,1445.46,578.12,93.95,80.77,97.53,8.08,90.92,95.89,0.8,0.38,0.13,,97.22,84.62,-97.84,94.09,143.04,95.71
,24-Apr-23,404-02-700209-23,99.91,99.05,0.04,5715.13,662.2,99.49,99.43,100,8.86,66.97,81.36,1.45,0.22,0.19,,98.51,50,-98.28,109.75,175.13,100
,25-Apr-23,404-02-700209-23,99.92,82.08,0.52,1330.36,600.88,96.62,78.26,93.51,8.03,88.08,95.24,1.5,0.29,0.08,,98.15,98.02,-98.75,105.87,138.42,100
,26-Apr-23,404-02-700209-23,99.67,81,0.74,1276.13,552.44,95.85,99.16,88.89,7.74,86.3,99.17,1.34,0.35,0.11,,95.38,94.24,-97.6,101.14,162.44,100
,27-Apr-23,404-02-700209-23,99.27,97.38,0.29,2484.6,592.86,98.96,96.64,100,7.63,76.28,96.54,1.82,0.41,0.15,,98.04,100,-99.25,46.08,56.32,66.67
PB_E_F3_HS_ULS019A_A,23-Apr-23,404-02-707019-21,,,,1288.87,1320.2,,,,,97.72,,0,0.06,0.83,,,,,199.29,,
,24-Apr-23,404-02-707019-21,,,,1056.24,1081.26,,,,,97.65,,0,0.04,0.6,,,,,141.6,,
,25-Apr-23,404-02-707019-21,,,,1851.37,1722.65,,,,,96.3,,0,0.03,1,,,,,190.89,,
,26-Apr-23,404-02-707019-21,,,,1268.12,1143.19,,,,,97.39,,0,0.03,0.7,,,,,168.63,,
