"Short name",,"4G_ECGI","Radio NW Availability","E-UTRAN Average CQI [CDBH]","UL User Throughput_Kbps [CDBH]","VoLTE Traffic_24Hrs","UL PUCCH SINR [CDBH]","Data Volume DL - Total [MB] [CDBH]","RRC Setup Success Rate [CDBH]","ERAB Setup Success Rate [CDBH]","VoLTE DCR_Nom [CBBH]","VoLTE DCR_Denom [CBBH]","VoLTE DCR [CBBH]","PS handover success rate [LTE Intra System] [CDBH]","VoLTE SRVCC SR_Nom [CBBH]","VoLTE SRVCC SR_Denom [CBBH]","VoLTE SRVCC SR [CBBH]","VoLTE ERAB Setup Success Rate [CBBH]","VoLTE SRVCC SR_Denom","VoLTE SRVCC SR","DL User Throughput_Kbps [CDBH]","Average number of used DL PRBs [CDBH]","Average UE Distance_KM [CDBH]","VoLTE Packet Loss DL [CBBH]","VoLTE Packet Loss UL [CBBH]","4G Data Volume_L1800 [GB]","4G Data Volume_L900 [GB]","MV_4G Data Volume_GB_TDD","4G Data Volume_L2100 [GB]","MV_4G Data Volume_GB","4G Data Volume [GB]","PS Drop Call Rate % [CDBH]"
,"13 Jan 23","405-52-931051-102",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"14 Jan 23","405-52-931051-102",36.00,9.03,296.48,1.13,3.74,4251.52,99.93,67.85,0.00,26.00,0.00,99.74,0.00,0.00,,83.69,0.00,,5236.12,63.90,0.943,0.06,0.04,,,30.89,,30.8906,30.89,1.58
,"15 Jan 23","405-52-931051-102",100.00,9.61,442.43,2.49,3.45,5334.37,99.97,99.64,0.00,26.00,0.00,99.76,0.00,0.00,,99.59,0.00,,6109.23,68.22,0.758,0.05,0.01,,,81.20,,81.2042,81.20,1.27
"@Nokia-BIH8-PLMN-PLMN/MRBTS-931051/LNBTS-931051/LNCEL-103","11 Jan 23","405-52-931051-103",37.38,11.43,287.39,0.65,1.28,5356.16,99.45,99.59,1.00,10.00,10.00,99.76,0.00,0.00,,100.00,0.00,,15503.84,44.48,0.675,0.01,0.01,,,41.79,,41.7863,41.79,0.53
,"12 Jan 23","405-52-931051-103",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"13 Jan 23","405-52-931051-103",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"14 Jan 23","405-52-931051-103",36.00,10.76,368.57,0.85,3.79,6086.85,99.86,56.85,3.00,20.00,15.00,99.73,0.00,0.00,,62.50,0.00,,7193.78,64.28,0.670,0.02,0.03,,,43.90,,43.8986,43.90,3.37
,"15 Jan 23","405-52-931051-103",100.00,10.48,279.33,1.83,2.81,6727.22,99.50,99.55,2.00,17.00,11.76,99.75,0.00,0.00,,100.00,0.00,,7663.65,64.92,0.727,0.17,2.14,,,100.95,,100.9509,100.95,1.67
"@Nokia-BIH8-PLMN-PLMN/MRBTS-931051/LNBTS-931051/LNCEL-111","11 Jan 23","405-52-931051-111",37.38,12.83,39.86,1.29,0.97,10939.57,99.56,97.54,0.00,19.00,0.00,99.33,0.00,0.00,,99.72,0.00,,15449.67,52.62,0.598,0.17,0.32,,,80.63,,80.6281,80.63,2.22
,"12 Jan 23","405-52-931051-111",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"13 Jan 23","405-52-931051-111",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"14 Jan 23","405-52-931051-111",35.99,12.39,316.90,2.38,3.82,11686.22,99.92,35.65,0.00,24.00,0.00,99.78,0.00,0.00,,89.39,0.00,,7954.23,73.05,0.624,0.00,0.10,,,83.54,,83.5415,83.54,2.52
,"15 Jan 23","405-52-931051-111",100.00,12.49,309.76,7.72,4.43,14024.31,99.77,99.83,0.00,34.00,0.00,99.89,0.00,0.00,,100.00,0.00,,6957.54,84.67,0.616,0.00,0.03,,,203.20,,203.2038,203.20,0.34
"@Nokia-BIH8-PLMN-PLMN/MRBTS-931051/LNBTS-931051/LNCEL-113","11 Jan 23","405-52-931051-113",37.38,11.72,393.23,0.95,2.32,6841.41,99.50,99.57,1.00,10.00,10.00,99.76,0.00,0.00,,96.74,0.00,,15490.77,50.80,0.668,0.11,0.07,,,52.36,,52.3570,52.36,0.42
,"12 Jan 23","405-52-931051-113",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"13 Jan 23","405-52-931051-113",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"14 Jan 23","405-52-931051-113",35.99,11.46,427.38,1.09,5.76,9299.85,99.79,52.92,1.00,38.00,2.63,99.94,0.00,0.00,,71.82,0.00,,7589.93,71.53,0.706,0.23,0.20,,,63.67,,63.6700,63.67,2.30
,"15 Jan 23","405-52-931051-113",100.00,11.66,302.65,2.26,2.68,10234.69,99.91,99.81,0.00,5.00,0.00,99.88,0.00,0.00,,98.55,0.00,,7301.68,77.38,0.764,0.00,0.01,,,150.82,,150.8213,150.82,0.59
"@Nokia-BIH8-PLMN-PLMN/MRBTS-931051/LNBTS-931051/LNCEL-191","11 Jan 23","405-52-931051-191",99.99,8.02,201.65,340.08,2.00,2274.61,99.21,99.11,1.00,607.00,0.16,99.62,0.00,0.00,,98.08,0.00,,660.42,95.22,1.132,0.03,0.28,,44.71,0.00,,44.7066,44.71,1.33
