"Short name",,"4G_ECGI","Radio NW Availability","E-UTRAN Average CQI [CDBH]","UL User Throughput_Kbps [CDBH]","VoLTE Traffic_24Hrs","UL PUCCH SINR [CDBH]","Data Volume DL - Total [MB] [CDBH]","RRC Setup Success Rate [CDBH]","ERAB Setup Success Rate [CDBH]","VoLTE DCR_Nom [CBBH]","VoLTE DCR_Denom [CBBH]","VoLTE DCR [CBBH]","PS handover success rate [LTE Intra System] [CDBH]","VoLTE SRVCC SR_Nom [CBBH]","VoLTE SRVCC SR_Denom [CBBH]","VoLTE SRVCC SR [CBBH]","VoLTE ERAB Setup Success Rate [CBBH]","VoLTE SRVCC SR_Denom","VoLTE SRVCC SR","DL User Throughput_Kbps [CDBH]","Average number of used DL PRBs [CDBH]","Average UE Distance_KM [CDBH]","VoLTE Packet Loss DL [CBBH]","VoLTE Packet Loss UL [CBBH]","4G Data Volume_L1800 [GB]","4G Data Volume_L900 [GB]","MV_4G Data Volume_GB_TDD","4G Data Volume_L2100 [GB]","MV_4G Data Volume_GB","4G Data Volume [GB]","PS Drop Call Rate % [CDBH]"
,"12 Jan 23","405-52-820046-12",100.00,7.55,100.07,31.78,-1.09,2368.25,98.74,98.79,4.00,297.00,1.35,100.00,0.00,0.00,,99.67,0.00,,4150.76,58.48,0.137,2.48,2.29,,,25.56,,25.5584,25.56,
,"13 Jan 23","405-52-820046-12",100.00,6.94,134.33,22.67,1.47,2457.89,99.72,99.64,0.00,141.00,0.00,100.00,0.00,0.00,,99.13,0.00,,4296.16,54.70,0.143,1.21,2.00,,,25.43,,25.4335,25.43,
,"14 Jan 23","405-52-820046-12",99.89,6.08,340.71,23.60,4.33,2069.21,99.50,99.86,0.00,103.00,0.00,100.00,0.00,0.00,,100.00,0.00,,2198.10,70.72,0.152,0.50,0.65,,,25.89,,25.8945,25.89,
,"15 Jan 23","405-52-820046-12",100.00,9.38,523.75,23.61,7.93,2777.41,99.90,99.67,0.00,60.00,0.00,100.00,0.00,0.00,,100.00,0.00,,14509.65,32.88,0.118,0.78,0.42,,,22.42,,22.4246,22.42,
"BH_ZQ_T2_HS_BSBIH-07C_C","11 Jan 23","405-52-820046-13",97.85,7.92,336.41,96.30,4.81,4777.19,99.10,99.76,0.00,389.00,0.00,99.86,0.00,0.00,,100.00,0.00,,3093.43,82.65,0.240,0.86,0.22,,,81.97,,81.9663,81.97,0.00
,"12 Jan 23","405-52-820046-13",100.00,8.83,68.66,99.34,1.08,4931.91,97.97,99.26,3.00,560.00,0.54,99.31,0.00,0.00,,99.31,0.00,,3747.32,76.70,0.238,1.74,0.70,,,74.90,,74.8974,74.90,0.00
,"13 Jan 23","405-52-820046-13",100.00,7.92,195.92,92.46,2.31,5177.44,99.29,99.46,0.00,518.00,0.00,99.74,0.00,0.00,,100.00,0.00,,2326.26,89.97,0.238,0.94,0.61,,,80.30,,80.3046,80.30,0.00
,"14 Jan 23","405-52-820046-13",99.89,7.82,215.48,79.16,4.85,4059.10,98.98,98.94,4.00,324.00,1.23,99.44,0.00,0.00,,100.00,0.00,,2065.11,86.33,0.247,1.10,0.15,,,75.48,,75.4768,75.48,0.00
,"15 Jan 23","405-52-820046-13",100.00,7.31,222.57,79.63,4.88,3573.01,98.63,99.69,0.00,373.00,0.00,98.24,0.00,0.00,,100.00,0.00,,1174.77,90.97,0.244,1.14,0.31,,,64.15,,64.1487,64.15,0.00
"BH_ZQ_T2_HS_BSBIH-08A_A","11 Jan 23","405-52-820501-11",97.84,9.42,217.84,151.46,3.20,9270.35,99.91,99.72,0.00,403.00,0.00,98.88,0.00,0.00,,100.00,0.00,,4998.20,84.47,0.257,0.05,0.21,,,164.99,,164.9868,164.99,
,"12 Jan 23","405-52-820501-11",99.54,9.82,30.98,124.70,0.32,4998.27,99.81,99.09,11.00,702.00,1.57,100.00,0.00,0.00,,99.78,0.00,,7581.56,49.90,0.263,0.52,2.11,,,54.51,,54.5076,54.51,
,"13 Jan 23","405-52-820501-11",99.49,9.42,82.11,113.89,0.66,5293.28,99.60,99.70,0.00,373.00,0.00,99.32,0.00,0.00,,99.74,0.00,,7093.67,58.23,0.268,0.66,1.68,,,70.56,,70.5603,70.56,
,"14 Jan 23","405-52-820501-11",99.87,8.82,187.98,106.14,4.09,9294.44,99.56,99.50,0.00,212.00,0.00,97.30,0.00,0.00,,97.82,0.00,,1074.82,99.80,0.318,0.07,0.07,,,131.97,,131.9687,131.97,
,"15 Jan 23","405-52-820501-11",100.00,9.34,306.24,98.83,3.91,9096.77,99.64,99.71,0.00,183.00,0.00,95.71,0.00,0.00,,100.00,0.00,,4039.28,88.33,0.269,0.04,0.13,,,163.57,,163.5656,163.57,0.00
"BH_ZQ_T2_HS_BSBIH-08B_B","11 Jan 23","405-52-820501-12",97.84,9.74,365.88,93.57,1.80,9076.11,100.00,98.55,0.00,151.00,0.00,92.63,0.00,0.00,,100.00,0.00,,6609.41,76.20,0.190,0.02,0.04,,,112.44,,112.4422,112.44,
,"12 Jan 23","405-52-820501-12",99.54,10.92,76.75,101.67,0.06,5729.80,99.46,96.29,8.00,679.00,1.18,95.78,0.00,0.00,,99.86,0.00,,10227.38,52.45,0.191,0.62,1.37,,,79.44,,79.4353,79.44,0.00
,"13 Jan 23","405-52-820501-12",99.49,10.89,157.07,79.66,0.69,7881.51,99.67,97.69,1.00,263.00,0.38,94.12,0.00,0.00,,100.00,0.00,,9636.44,61.33,0.189,0.12,0.28,,,109.14,,109.1438,109.14,0.00
,"14 Jan 23","405-52-820501-12",99.87,9.47,315.39,74.22,3.99,6922.63,99.89,99.69,0.00,126.00,0.00,94.64,0.00,0.00,,100.00,0.00,,5643.20,77.65,0.189,0.03,0.15,,,104.51,,104.5091,104.51,
,"15 Jan 23","405-52-820501-12",100.00,9.23,341.03,74.15,4.07,7315.21,99.88,99.90,0.00,180.00,0.00,99.11,0.00,0.00,,100.00,0.00,,3797.43,85.08,0.196,0.03,0.05,,,113.26,,113.2641,113.26,
"BH_ZQ_T2_HS_BSBIH-08C_C","11 Jan 23","405-52-820501-13",97.84,9.89,216.57,84.99,1.34,6382.73,99.43,99.38,0.00,254.00,0.00,98.25,0.00,0.00,,100.00,0.00,,8442.70,58.33,0.263,0.06,0.08,,,103.06,,103.0600,103.06,
,"12 Jan 23","405-52-820501-13",99.54,10.47,40.36,63.81,0.14,3375.00,97.95,97.69,3.00,294.00,1.02,99.33,0.00,0.00,,99.02,0.00,,11641.02,32.15,0.278,0.70,1.38,,,43.50,,43.4964,43.50,0.00
,"13 Jan 23","405-52-820501-13",99.49,9.52,267.66,75.01,2.27,5248.24,99.52,99.66,0.00,249.00,0.00,100.00,0.00,0.00,,99.64,0.00,,10275.67,52.25,0.272,0.09,0.13,,,59.25,,59.2463,59.25,
,"14 Jan 23","405-52-820501-13",99.87,9.30,286.15,76.02,4.73,7458.49,99.82,98.60,0.00,215.00,0.00,99.32,0.00,0.00,,100.00,0.00,,3325.82,87.35,0.290,0.31,0.26,,,104.56,,104.5602,104.56,
,"15 Jan 23","405-52-820501-13",100.00,9.11,359.61,78.16,4.82,7352.79,99.67,99.67,0.00,180.00,0.00,100.00,0.00,0.00,,100.00,0.00,,3014.74,88.85,0.302,0.03,0.04,,,112.28,,112.2753,112.28,
"BH_ZQ_T2_HS_BSBIH-18A_A","11 Jan 23","405-52-820448-11",84.65,9.41,205.92,51.78,1.89,6953.57,99.92,99.77,0.00,183.00,0.00,100.00,0.00,0.00,,100.00,0.00,,3786.86,78.33,0.163,0.05,0.01,,,61.52,,61.5198,61.52,0.00
,"12 Jan 23","405-52-820448-11",85.33,9.66,131.77,47.33,0.64,6091.56,99.75,99.58,2.00,200.00,1.00,100.00,0.00,0.00,,99.72,0.00,,8011.95,60.05,0.180,0.51,1.58,,,56.03,,56.0319,56.03,0.00
,"13 Jan 23","405-52-820448-11",58.34,10.67,24.71,31.58,-0.23,3512.20,98.36,94.86,3.00,189.00,1.59,100.00,0.00,0.00,,99.37,0.00,,8446.09,35.58,0.208,3.11,3.66,,,23.79,,23.7897,23.79,0.00
,"14 Jan 23","405-52-820448-11",74.90,8.82,343.85,48.56,5.05,8154.10,99.93,99.70,0.00,171.00,0.00,96.00,0.00,0.00,,100.00,0.00,,1862.99,93.95,0.192,0.03,0.01,,,63.53,,63.5307,63.53,0.00
,"15 Jan 23","405-52-820448-11",94.12,8.86,327.87,63.79,5.30,6495.95,99.75,99.94,0.00,164.00,0.00,100.00,0.00,0.00,,100.00,0.00,,1838.61,97.93,0.168,0.02,0.01,,,85.63,,85.6292,85.63,0.00
"BH_ZQ_T2_HS_BSBIH-18B_B","11 Jan 23","405-52-820448-12",84.65,7.77,203.84,39.99,3.24,6099.76,99.86,99.53,0.00,95.00,0.00,100.00,0.00,0.00,,100.00,0.00,,1361.93,93.80,0.221,0.03,0.03,,,59.02,,59.0203,59.02,0.00
,"12 Jan 23","405-52-820448-12",85.33,9.18,53.47,37.77,0.50,6643.64,97.81,98.01,0.00,104.00,0.00,96.72,0.00,0.00,,100.00,0.00,,6360.12,74.58,0.297,0.16,0.51,,,51.42,,51.4172,51.42,0.00
,"13 Jan 23","405-52-820448-12",58.34,8.65,95.09,18.78,0.66,6529.97,99.24,99.24,1.00,102.00,0.98,96.51,0.00,0.00,,100.00,0.00,,4406.76,83.22,0.241,0.08,0.29,,,31.35,,31.3476,31.35,0.00
,"14 Jan 23","405-52-820448-12",74.91,7.92,410.35,33.27,4.98,5524.73,99.61,99.79,0.00,110.00,0.00,100.00,0.00,0.00,,100.00,0.00,,1314.89,96.70,0.232,0.04,0.02,,,49.68,,49.6752,49.68,0.00
,"15 Jan 23","405-52-820448-12",94.12,8.25,410.32,48.66,5.35,5081.95,99.95,99.36,0.00,77.00,0.00,98.23,0.00,0.00,,100.00,0.00,,1710.07,89.80,0.234,0.46,0.01,,,74.55,,74.5540,74.55,0.00
"BH_ZQ_T2_HS_BSBIH-18C_C","11 Jan 23","405-52-820448-13",84.65,8.25,169.26,21.06,0.77,4883.19,99.07,99.26,0.00,48.00,0.00,100.00,0.00,0.00,,97.87,0.00,,3918.24,66.92,0.193,0.04,1.73,,,45.82,,45.8246,45.82,
,"12 Jan 23","405-52-820448-13",85.33,9.42,130.10,21.61,0.20,3493.29,95.36,97.54,1.00,89.00,1.12,100.00,0.00,0.00,,100.00,0.00,,12193.76,37.15,0.192,0.12,0.76,,,34.43,,34.4268,34.43,0.00
,"13 Jan 23","405-52-820448-13",58.34,9.36,44.60,14.46,0.16,4974.81,98.59,96.61,0.00,79.00,0.00,100.00,0.00,0.00,,98.63,0.00,,6811.59,57.60,0.187,1.33,1.71,,,25.39,,25.3878,25.39,0.00
,"14 Jan 23","405-52-820448-13",74.91,8.21,280.55,19.78,4.32,5097.77,99.67,100.00,0.00,64.00,0.00,100.00,0.00,0.00,,100.00,0.00,,4354.79,78.15,0.216,0.07,0.01,,,43.02,,43.0170,43.02,
,"15 Jan 23","405-52-820448-13",94.12,8.03,268.75,28.26,5.68,5284.53,99.93,99.93,0.00,83.00,0.00,100.00,0.00,0.00,,98.84,0.00,,3095.56,79.38,0.219,0.09,0.50,,,59.29,,59.2865,59.29,0.00
"BH_ZQ_T2_HS_BSBJK-01A_A","11 Jan 23","405-52-820510-11",100.00,11.59,339.49,14.58,2.49,945.19,99.82,99.20,0.00,42.00,0.00,100.00,0.00,0.00,,100.00,0.00,,30935.34,7.53,0.255,1.88,0.13,,,10.07,,10.0716,10.07,
,"12 Jan 23","405-52-820510-11",100.00,12.22,233.57,10.99,0.57,1285.77,97.77,95.80,0.00,73.00,0.00,92.31,0.00,0.00,,100.00,0.00,,21634.11,11.07,0.327,3.13,0.73,,,12.39,,12.3915,12.39,
,"13 Jan 23","405-52-820510-11",99.88,11.53,121.69,14.86,0.48,1142.07,99.64,99.59,0.00,21.00,0.00,84.62,0.00,0.00,,100.00,0.00,,14301.04,14.50,0.230,0.47,0.14,,,12.06,,12.0639,12.06,
,"14 Jan 23","405-52-820510-11",100.00,10.49,297.05,11.61,5.46,1158.59,100.00,100.00,0.00,42.00,0.00,100.00,0.00,0.00,,100.00,0.00,,7156.04,30.32,0.270,0.55,0.06,,,12.46,,12.4647,12.46,
,"15 Jan 23","405-52-820510-11",100.00,10.65,794.99,5.10,6.81,767.64,100.00,96.59,1.00,14.00,7.14,100.00,0.00,0.00,,100.00,0.00,,9952.92,14.97,0.376,1.76,0.02,,,8.79,,8.7906,8.79,
"BH_ZQ_T2_HS_BSBJK-01B_B","11 Jan 23","405-52-820510-12",100.00,8.77,202.25,24.55,4.64,1617.70,99.39,99.91,0.00,139.00,0.00,100.00,0.00,0.00,,100.00,0.00,,13017.58,20.90,0.702,0.47,0.04,,,15.43,,15.4279,15.43,
,"12 Jan 23","405-52-820510-12",100.00,10.11,88.94,23.24,-1.39,1509.24,99.51,99.37,1.00,78.00,1.28,98.08,0.00,0.00,,100.00,0.00,,9549.46,22.80,0.617,0.48,0.52,,,12.48,,12.4818,12.48,
,"13 Jan 23","405-52-820510-12",99.88,10.55,76.80,20.26,-2.25,1074.13,97.67,96.89,2.00,127.00,1.57,100.00,0.00,0.00,,100.00,0.00,,9921.40,18.50,0.850,1.56,2.27,,,11.94,,11.9385,11.94,
,"14 Jan 23","405-52-820510-12",100.00,9.31,149.91,26.88,5.37,1992.87,99.83,99.86,1.00,189.00,0.53,100.00,0.00,0.00,,100.00,0.00,,7416.38,36.52,0.553,0.30,0.06,,,22.16,,22.1611,22.16,0.00
,"15 Jan 23","405-52-820510-12",100.00,8.98,105.77,18.22,3.70,1572.82,98.22,98.84,0.00,53.00,0.00,100.00,0.00,0.00,,100.00,0.00,,8021.90,30.95,1.267,0.09,0.17,,,18.29,,18.2927,18.29,
"BH_ZQ_T2_HS_BSBJK-01C_C","11 Jan 23","405-52-820510-13",100.00,9.20,140.40,26.77,6.49,2750.39,100.00,99.91,0.00,82.00,0.00,98.08,0.00,0.00,,100.00,0.00,,7442.09,42.12,0.507,0.87,0.29,,,41.46,,41.4644,41.46,
,"12 Jan 23","405-52-820510-13",100.00,9.57,96.09,23.49,1.12,2542.11,99.83,99.53,0.00,52.00,0.00,100.00,0.00,0.00,,100.00,0.00,,7661.47,42.00,0.449,0.57,1.00,,,26.81,,26.8061,26.81,
,"13 Jan 23","405-52-820510-13",99.88,10.81,44.75,17.19,-1.49,2787.83,96.99,96.44,3.00,78.00,3.85,100.00,0.00,0.00,,100.00,0.00,,7692.05,41.45,0.438,1.54,2.29,,,26.17,,26.1672,26.17,
,"14 Jan 23","405-52-820510-13",100.00,8.70,152.12,27.97,6.62,4631.28,99.81,99.85,0.00,47.00,0.00,81.82,0.00,0.00,,100.00,0.00,,6595.32,63.62,0.437,1.79,0.09,,,45.27,,45.2713,45.27,
,"15 Jan 23","405-52-820510-13",100.00,8.80,122.43,24.00,7.01,4458.55,99.45,99.71,2.00,73.00,2.74,98.39,0.00,0.00,,100.00,0.00,,6361.10,62.12,0.558,0.65,0.31,,,44.99,,44.9854,44.99,
"BH_ZQ_T2_HS_BSBKG-02A_A","11 Jan 23","405-52-820335-11",71.19,7.60,74.95,15.97,0.50,4912.03,98.62,99.02,0.00,71.00,0.00,100.00,0.00,0.00,,100.00,0.00,,2119.82,90.92,0.300,0.58,0.26,,,48.20,,48.1956,48.20,
,"12 Jan 23","405-52-820335-11",87.00,9.71,91.96,12.14,-0.65,3936.98,89.39,96.50,0.00,84.00,0.00,,0.00,0.00,,100.00,0.00,,16267.21,33.90,0.175,6.30,4.55,,,33.76,,33.7647,33.76,
,"13 Jan 23","405-52-820335-11",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"14 Jan 23","405-52-820335-11",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"15 Jan 23","405-52-820335-11",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BH_ZQ_T2_HS_BSBKG-02B_B","11 Jan 23","405-52-820335-12",71.19,8.17,76.49,11.91,2.13,5695.85,96.43,99.48,0.00,62.00,0.00,91.67,0.00,0.00,,98.80,0.00,,5022.37,70.55,0.677,0.32,0.30,,,59.03,,59.0252,59.03,
,"12 Jan 23","405-52-820335-12",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"13 Jan 23","405-52-820335-12",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"14 Jan 23","405-52-820335-12",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"15 Jan 23","405-52-820335-12",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BH_ZQ_T2_HS_BSBKG-02C_C","11 Jan 23","405-52-820335-13",71.19,7.00,62.62,27.27,1.42,4980.60,98.41,99.47,0.00,127.00,0.00,98.11,0.00,0.00,,99.37,0.00,,1317.78,93.10,0.303,0.98,0.52,,,64.84,,64.8369,64.84,0.00
,"12 Jan 23","405-52-820335-13",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"13 Jan 23","405-52-820335-13",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"14 Jan 23","405-52-820335-13",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"15 Jan 23","405-52-820335-13",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BH_ZQ_T2_HS_BSBKH-03A_A","11 Jan 23","405-52-820511-11",100.00,12.07,219.70,105.98,1.23,9569.14,99.97,99.83,1.00,218.00,0.46,98.15,0.00,0.00,,100.00,0.00,,11655.44,57.40,0.282,0.05,0.19,,,131.54,,131.5358,131.54,
,"12 Jan 23","405-52-820511-11",100.00,12.55,80.61,111.56,0.87,7626.92,99.41,99.33,0.00,122.00,0.00,100.00,0.00,0.00,,100.00,0.00,,15558.81,45.70,0.231,0.09,0.37,,,115.22,,115.2204,115.22,
,"13 Jan 23","405-52-820511-11",100.00,12.04,84.16,103.37,0.84,10550.97,99.86,99.10,0.00,212.00,0.00,97.67,0.00,0.00,,100.00,0.00,,8363.46,70.60,0.264,0.09,0.13,,,150.79,,150.7925,150.79,
,"14 Jan 23","405-52-820511-11",99.81,11.18,408.21,113.66,4.98,12763.14,99.58,99.71,0.00,156.00,0.00,97.56,0.00,0.00,,100.00,0.00,,3374.13,92.70,0.319,0.01,0.01,,,155.04,,155.0373,155.04,0.00
,"15 Jan 23","405-52-820511-11",62.50,10.68,292.83,58.55,4.92,9386.26,99.87,99.67,0.00,195.00,0.00,100.00,0.00,0.00,,100.00,0.00,,3700.49,86.28,0.404,0.04,0.02,,,89.15,,89.1501,89.15,0.00
"BH_ZQ_T2_HS_BSBKH-03B_B","11 Jan 23","405-52-820511-12",100.00,10.85,258.36,26.21,1.16,3335.61,99.91,99.60,0.00,10.00,0.00,98.11,0.00,0.00,,100.00,0.00,,11661.85,35.08,0.205,0.01,0.01,,,37.26,,37.2557,37.26,
,"12 Jan 23","405-52-820511-12",100.00,11.15,74.61,31.12,0.73,4385.54,99.37,99.07,2.00,73.00,2.74,96.83,0.00,0.00,,100.00,0.00,,11606.43,42.85,0.285,0.64,0.36,,,55.97,,55.9659,55.97,
,"13 Jan 23","405-52-820511-12",100.00,9.70,116.93,32.97,0.89,4779.86,100.00,99.59,0.00,38.00,0.00,95.41,0.00,0.00,,100.00,0.00,,8587.82,55.48,0.360,0.05,0.13,,,61.29,,61.2855,61.29,
,"14 Jan 23","405-52-820511-12",99.81,9.39,212.63,38.09,5.47,5475.72,99.96,99.90,0.00,28.00,0.00,100.00,0.00,0.00,,100.00,0.00,,7115.83,66.40,0.440,0.04,0.02,,,70.46,,70.4582,70.46,
,"15 Jan 23","405-52-820511-12",62.50,8.63,202.00,19.40,5.80,5370.26,99.81,99.52,0.00,101.00,0.00,99.20,0.00,0.00,,100.00,0.00,,3012.04,82.78,0.483,0.09,0.03,,,41.76,,41.7635,41.76,
"BH_ZQ_T2_HS_BSBKH-03C_C","11 Jan 23","405-52-820511-13",100.00,10.71,211.55,43.70,1.20,5625.29,99.49,99.35,0.00,79.00,0.00,100.00,0.00,0.00,,100.00,0.00,,10229.92,46.60,0.330,0.05,0.05,,,53.30,,53.2966,53.30,
,"12 Jan 23","405-52-820511-13",100.00,10.28,132.48,30.14,1.00,2962.69,99.60,99.91,0.00,91.00,0.00,100.00,0.00,0.00,,100.00,0.00,,11449.19,32.70,0.248,3.32,4.58,,,36.70,,36.6952,36.70,
,"13 Jan 23","405-52-820511-13",100.00,11.07,43.58,40.57,0.24,4323.47,100.00,96.91,1.00,73.00,1.37,100.00,0.00,0.00,,100.00,0.00,,9610.41,44.67,0.249,0.96,1.60,,,51.59,,51.5948,51.59,
,"14 Jan 23","405-52-820511-13",99.81,10.06,568.45,49.11,6.42,6540.76,100.00,98.71,0.00,21.00,0.00,99.02,0.00,0.00,,100.00,0.00,,7770.56,68.33,0.281,0.04,0.02,,,60.31,,60.3079,60.31,
,"15 Jan 23","405-52-820511-13",62.50,9.98,456.78,21.99,6.42,3913.75,100.00,99.71,1.00,137.00,0.73,100.00,0.00,0.00,,100.00,0.00,,10423.66,44.90,0.316,0.06,0.01,,,37.72,,37.7219,37.72,
"BH_ZQ_T2_HS_BSBMC-01A_A","11 Jan 23","405-52-820443-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"12 Jan 23","405-52-820443-11",32.30,10.26,140.22,16.68,1.03,8734.78,99.11,98.71,0.00,135.00,0.00,95.51,0.00,0.00,,100.00,0.00,,6585.40,77.30,0.282,0.07,0.24,,,56.55,,56.5538,56.55,
,"13 Jan 23","405-52-820443-11",100.00,9.82,183.69,48.01,2.82,9451.89,99.87,99.76,0.00,127.00,0.00,91.25,0.00,0.00,,100.00,0.00,,3214.30,88.83,0.296,0.02,0.08,,,118.67,,118.6748,118.67,
,"14 Jan 23","405-52-820443-11",99.87,9.45,245.12,47.22,3.70,8892.07,99.92,99.53,2.00,109.00,1.83,100.00,0.00,0.00,,99.30,0.00,,1474.71,99.33,0.270,0.14,0.20,,,126.20,,126.2022,126.20,
,"15 Jan 23","405-52-820443-11",99.58,9.21,250.94,50.76,4.01,8027.29,99.59,99.87,0.00,166.00,0.00,99.60,0.00,0.00,,100.00,0.00,,1682.76,98.33,0.258,0.03,0.03,,,124.90,,124.8978,124.90,
"BH_ZQ_T2_HS_BSBMC-01B_B","11 Jan 23","405-52-820443-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"12 Jan 23","405-52-820443-12",32.30,9.96,64.04,18.54,0.73,7921.89,99.25,99.43,0.00,212.00,0.00,96.30,0.00,0.00,,100.00,0.00,,5924.53,78.33,0.288,0.13,0.14,,,44.68,,44.6827,44.68,
,"13 Jan 23","405-52-820443-12",100.00,9.46,113.39,51.67,1.16,9184.83,99.75,99.46,1.00,215.00,0.47,96.15,0.00,0.00,,100.00,0.00,,3342.77,90.53,0.407,0.10,0.10,,,121.61,,121.6112,121.61,
,"14 Jan 23","405-52-820443-12",99.87,9.40,272.52,60.85,4.83,8157.43,99.77,99.94,0.00,263.00,0.00,94.74,0.00,0.00,,100.00,0.00,,1294.92,99.28,0.323,0.15,0.08,,,125.76,,125.7556,125.76,
,"15 Jan 23","405-52-820443-12",99.58,9.46,415.57,47.72,5.97,8681.47,99.82,99.80,0.00,165.00,0.00,100.00,0.00,0.00,,100.00,0.00,,1870.45,97.33,0.318,0.02,0.01,,,123.83,,123.8279,123.83,
"BH_ZQ_T2_HS_BSBMC-01C_C","11 Jan 23","405-52-820443-13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"12 Jan 23","405-52-820443-13",32.30,13.19,66.15,17.34,0.38,6728.18,95.89,97.58,1.00,44.00,2.27,100.00,0.00,0.00,,100.00,0.00,,33465.07,27.35,0.175,3.63,3.68,,,28.27,,28.2685,28.27,
,"13 Jan 23","405-52-820443-13",100.00,11.32,85.68,43.50,0.62,8441.45,99.08,98.12,0.00,158.00,0.00,100.00,0.00,0.00,,100.00,0.00,,11538.42,57.23,0.440,0.10,0.03,,,80.96,,80.9564,80.96,
,"14 Jan 23","405-52-820443-13",99.87,10.35,274.68,46.23,2.09,9852.75,99.92,99.26,0.00,193.00,0.00,100.00,0.00,0.00,,100.00,0.00,,3066.91,93.15,0.491,0.01,0.01,,,122.85,,122.8546,122.85,
,"15 Jan 23","405-52-820443-13",99.58,10.63,330.07,46.90,4.10,11528.96,100.00,99.67,0.00,150.00,0.00,98.15,0.00,0.00,,100.00,0.00,,3123.79,96.45,0.479,0.03,0.03,,,127.64,,127.6392,127.64,
"BH_ZQ_T2_HS_BSBOD-01A_A","11 Jan 23","405-52-820563-11",97.92,8.97,146.27,53.32,2.89,8066.68,99.85,99.22,0.00,141.00,0.00,75.51,0.00,0.00,,100.00,0.00,,3019.20,88.67,0.251,0.06,0.41,,,114.08,,114.0786,114.08,
,"12 Jan 23","405-52-820563-11",100.00,9.38,117.00,59.14,1.32,7510.73,99.92,99.96,0.00,173.00,0.00,91.38,0.00,0.00,,100.00,0.00,,3986.29,83.60,0.273,0.03,0.09,,,105.98,,105.9802,105.98,
,"13 Jan 23","405-52-820563-11",94.89,9.00,76.74,41.88,0.38,8083.16,99.95,99.73,0.00,169.00,0.00,71.79,0.00,0.00,,100.00,0.00,,4637.54,84.25,0.245,0.02,0.05,,,92.91,,92.9109,92.91,
,"14 Jan 23","405-52-820563-11",99.88,8.96,148.04,50.89,1.76,6098.27,99.96,99.22,0.00,103.00,0.00,92.31,0.00,0.00,,100.00,0.00,,3948.88,78.28,0.253,0.03,0.04,,,109.52,,109.5211,109.52,
,"15 Jan 23","405-52-820563-11",100.00,9.42,313.45,49.42,6.17,7731.10,99.83,99.57,0.00,146.00,0.00,93.44,0.00,0.00,,100.00,0.00,,4800.27,87.35,0.237,0.03,0.02,,,116.10,,116.0989,116.10,
"BH_ZQ_T2_HS_BSBOD-01B_B","11 Jan 23","405-52-820563-12",97.92,10.14,409.31,56.10,1.27,8144.57,99.78,99.88,0.00,146.00,0.00,98.90,0.00,0.00,,100.00,0.00,,5249.94,80.05,0.218,0.11,0.13,,,108.35,,108.3528,108.35,
,"12 Jan 23","405-52-820563-12",100.00,10.12,246.99,64.00,1.10,7284.35,99.76,99.57,0.00,113.00,0.00,96.57,0.00,0.00,,100.00,0.00,,6752.65,71.03,0.214,0.03,0.39,,,99.80,,99.8000,99.80,
,"13 Jan 23","405-52-820563-12",94.90,10.22,180.22,56.43,1.05,7708.77,99.84,99.45,0.00,108.00,0.00,66.67,0.00,0.00,,100.00,0.00,,6606.52,77.62,0.224,0.05,0.04,,,98.22,,98.2175,98.22,
,"14 Jan 23","405-52-820563-12",99.88,8.50,423.81,55.49,3.95,6330.38,99.68,99.72,0.00,114.00,0.00,99.38,0.00,0.00,,100.00,0.00,,2556.09,89.47,0.211,0.01,0.01,,,100.92,,100.9220,100.92,
,"15 Jan 23","405-52-820563-12",100.00,8.37,433.03,53.66,4.43,6326.67,99.91,99.88,0.00,84.00,0.00,98.99,0.00,0.00,,100.00,0.00,,1895.66,94.28,0.227,0.01,0.01,,,105.80,,105.7966,105.80,
"BH_ZQ_T2_HS_BSBOD-01C_C","11 Jan 23","405-52-820563-13",97.92,9.75,172.09,224.47,3.88,13310.98,99.86,99.46,3.00,346.00,0.87,99.43,0.00,0.00,,98.72,0.00,,2058.42,98.60,0.379,0.60,1.53,,,191.75,,191.7488,191.75,0.00
,"12 Jan 23","405-52-820563-13",100.00,11.46,63.45,234.29,0.59,5634.83,99.11,99.17,3.00,473.00,0.63,100.00,0.00,0.00,,97.93,0.00,,17906.93,38.45,0.348,0.08,0.70,,,38.92,,38.9196,38.92,0.00
