Short name,,MV_RRC Setup Success Rate [CDBH],MV_ERAB Setup Success Rate [CDBH],MV_PS Drop Call Rate % [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_UL User Throughput_Kbps [CDBH],MV_PS handover success rate [LTE Intra System] [CDBH],MV_CSFB Redirection Success Rate [CDBH],MV_E-UTRAN Average CQI [CDBH],UL RSSI PUCCH,MV_VoLTE DCR [CBBH],MV_PS handover success rate [LTE Inter System] [CDBH],MV_VoLTE ERAB Setup Success Rate [CBBH],MV_VoLTE IntraF HOSR Exec [CBBH],MV_VoLTE InterF HOSR Exec [CBBH],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],MV_4G Data Volume_GB,MV_VoLTE Traffic,MV_Average number of used DL PRBs [CDBH],UL RSSI PUCCH,CSFB Redirection Success Rate [CDBH],PS handover success rate_Nom [LTE Intra System] [CDBH],PS handover success rate_Denom [LTE Intra System] [CDBH],PS handover success rate_Nom [LTE Inter System] [CDBH],PS handover success rate_Denom [LTE Inter System] [CDBH],VoLTE DCR_Nom [CBBH],PS Drop Call Rate_Nom [CDBH],VoLTE ERAB Setup Success Rate_NOM [CBBH],VoLTE ERAB Setup Success Rate_Denom [CBBH],VoLTE IntraF HOSR Exec_Nom [CBBH],VoLTE IntraF HOSR Exec_Denom [CBBH],VoLTE InterF HOSR Exec_Nom [CBBH],VoLTE InterF HOSR Exec_Denom [CBBH],VoLTE DCR_Denom [CBBH],PS Drop Call Rate_Denom [CDBH]
,25-Apr-23,99.94,100,0.15,4911.68,444.56,100,0,8.91,,0,99.44,100,100,,0.01,0.01,17.4289,0.8,53.22,-113.59,0,,,,,,,,,,,0,,,
,26-Apr-23,99.84,99.84,0.14,5484.87,1328.22,99.81,0,8.85,,0,99.56,100,100,,0.31,0.07,19.4487,0.72,56.48,-112.61,0,,,,,,,,,,,0,,,
,27-Apr-23,99.75,99.84,0.53,4600.26,543.86,100,0,8.57,,0,100,100,100,,0.22,1.13,16.0673,0.4,65.8,-112.59,0,,,,,,,,,,,0,,,
,28-Apr-23,99.95,99.33,0.33,3396.52,659.97,99.81,0,8.58,,0,100,100,100,,0.1,0.02,12.9262,0.72,66.61,-107.66,0,,,,,,,,,,,0,,,
CH_ZQ_T1_OM_ANNA34C_C,24-Apr-23,100,100,0,7720.62,818.8,100,,9.99,,0,93.33,100,,,0.23,1.69,16.5378,0.23,36.17,-114.51,,,,,,,,,,,,0,,,
,25-Apr-23,100,100,0,6932.6,802.08,100,0,9.46,,0,94,100,100,,0.32,0.33,20.6169,0.24,43.88,-113.72,0,,,,,,,,,,,0,,,
,26-Apr-23,99.79,100,0.23,6976.39,899.52,100,0,7.89,,0,80,100,100,,0.03,0.03,20.66,0.22,39.82,-113.44,0,,,,,,,,,,,0,,,
,27-Apr-23,100,99.54,0,5008.34,1246.18,100,0,8.25,,0,100,100,100,,0.08,0.25,15.9363,0.17,42.46,-113.9,0,,,,,,,,,,,0,,,
,28-Apr-23,99.84,100,0,4041.8,806.33,100,0,8.32,,0,99.51,100,,,0.06,0.06,18.1595,0.29,62.18,-109.4,0,,,,,,,,,,,0,,,
CH_ZQ_T1_OM_BELLS6A_A,24-Apr-23,99.78,100,0,7019.61,384.56,100,0,7.71,,0,100,100,100,,0.01,0.04,4.4914,0.92,31.17,-118.26,0,,,,,,,,,,,0,,,
,25-Apr-23,100,100,0.12,6004.46,573.08,99.09,0,7.84,,0,100,100,100,,0.01,0.03,10.0639,0.99,33.86,-118.49,0,,,,,,,,,,,0,,,
,26-Apr-23,99.62,100,0,22338.84,531.92,100,0,7.92,,0,92.31,100,,,0.08,0,6.5509,0.26,21.04,-118.76,0,,,,,,,,,,,0,,,
,27-Apr-23,100,100,0,9499.03,184.56,100,,7.1,,0,100,100,100,,0.01,0,1.6881,0.1,15.1,-119.17,,,,,,,,,,,,0,,,
,28-Apr-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH_ZQ_T1_OM_BELLS6A_L,24-Apr-23,100,100,0.38,6303.2,275.1,100,,7.35,,12.5,100,100,100,100,0.37,0.04,3.6959,0.43,25.04,-117.82,,,,,,,,,,,,3,,,
,25-Apr-23,100,100,0.18,9117.33,704.22,98.18,0,7.51,,0,88.64,100,100,100,0,0.1,9.7549,2.54,28.02,-118,0,,,,,,,,,,,1,,,
,26-Apr-23,100,100,0,8236.68,600.46,100,0,8.19,,0,94.12,100,100,100,0.1,0.68,5.5214,1.74,17.62,-118.12,0,,,,,,,,,,,3,,,
,27-Apr-23,100,100,0,13475.75,1246.36,100,,8.8,,0,,100,100,,0,0.14,2.2037,0.18,9.13,-118.55,,,,,,,,,,,,0,,,
,28-Apr-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH_ZQ_T1_OM_BELLS6B_B,24-Apr-23,100,99.88,0.45,10189.38,573.88,100,0,8.21,,0,97.62,100,100,,0.01,0.2,10.7492,0.96,51.4,-116.47,0,,,,,,,,,,,0,,,
,25-Apr-23,100,100,0.37,6926.71,1385.97,98.78,0,8.27,,0,100,100,100,,0.01,0.06,10.3146,1.49,28.2,-117.42,0,,,,,,,,,,,0,,,
,26-Apr-23,100,100,1.14,5653.57,1368.96,100,0,7.89,,0,100,100,100,,0.03,2.73,9.669,1.42,30.8,-116.56,0,,,,,,,,,,,0,,,
,27-Apr-23,100,100,0,8605.97,525.72,100,,8.24,,0,100,100,100,,0.09,0.78,3.3607,0.49,15.33,-116.64,,,,,,,,,,,,0,,,
,28-Apr-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH_ZQ_T1_OM_BELLS6C_C,24-Apr-23,100,99.84,0.28,6358.2,410.81,100,0,7.55,,0,98.89,100,100,,0.16,0.59,7.033,1.26,34.08,-115.15,0,,,,,,,,,,,0,,,
