Short name,,MV_RRC Setup Success Rate [CDBH],MV_ERAB Setup Success Rate [CDBH],MV_PS Drop Call Rate % [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_UL User Throughput_Kbps [CDBH],MV_PS handover success rate [LTE Intra System] [CDBH],MV_CSFB Redirection Success Rate [CDBH],MV_E-UTRAN Average CQI [CDBH],UL RSSI PUCCH,MV_VoLTE DCR [CBBH],MV_PS handover success rate [LTE Inter System] [CDBH],MV_VoLTE ERAB Setup Success Rate [CBBH],MV_VoLTE IntraF HOSR Exec [CBBH],MV_VoLTE InterF HOSR Exec [CBBH],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],MV_4G Data Volume_GB,MV_VoLTE Traffic,MV_Average number of used DL PRBs [CDBH],UL RSSI PUCCH,CSFB Redirection Success Rate [CDBH]
,28-Mar-23,98.38,98.93,1.28,11997.36,73.19,97.87,100,10.5,-106.14,0,63.79,100,100,87.5,0.78,0.2,7.4595,26.45,15.65,,
CH_E_F1_OM_JEWEL6D_D,24-Mar-23,99.5,99.37,0.99,28591.75,75.47,93.79,100,10.27,-97.03,0,100,100,100,100,9.87,0.19,7.1357,7.89,9.38,,
,25-Mar-23,100,99.74,0.4,24251.59,363.9,98.26,100,10.62,-96.8,0,100,100,98.65,100,9.35,0.09,13.6289,7.92,47.45,,
,26-Mar-23,99.67,98.71,0.37,27079.17,91.95,98.08,100,10.8,-97.62,5.26,100,100,100,,1.07,0.19,8.5497,6.35,15.81,,
,27-Mar-23,100,100,8.64,28237.22,341.59,100,,11.07,-96.75,0,,100,99.56,100,4.74,0.59,6.0595,5.29,9.95,,
,28-Mar-23,96.55,98.46,2.2,15164.83,88.51,93.21,100,10.54,-97.08,0,100,100,99.31,100,5.95,0.56,5.9431,6.62,20.81,,
CH_E_F1_OM_MANI22A_A,24-Mar-23,100,100,0.22,7406.07,481,100,100,9.49,-114.89,0,35.23,100,98.21,80,0.02,0.02,37.0572,77.05,58.74,,
,25-Mar-23,99.84,99.44,0,11766.73,377.91,99.69,100,10.43,-115.09,0,35.44,100,100,100,0.03,0.01,34.7242,72.19,38.43,,
,26-Mar-23,100,99.6,0.09,6501.34,468.97,99.32,100,9.21,-114.94,0,39.53,100,100,100,0.04,0.02,36.9635,58.46,55.19,,
,27-Mar-23,100,100,0.16,4686.1,783.42,99.29,100,9.25,-114.86,0,19.19,100,100,90.48,0.03,0.04,42.2877,78.58,69.68,,
