Short name,,MV_RRC Setup Success Rate [CDBH],MV_ERAB Setup Success Rate [CDBH],MV_PS Drop Call Rate % [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_UL User Throughput_Kbps [CDBH],MV_PS handover success rate [LTE Intra System] [CDBH],MV_CSFB Redirection Success Rate [CDBH],MV_E-UTRAN Average CQI [CDBH],UL RSSI PUCCH,MV_VoLTE DCR [CBBH],MV_PS handover success rate [LTE Inter System] [CDBH],MV_VoLTE ERAB Setup Success Rate [CBBH],MV_VoLTE IntraF HOSR Exec [CBBH],MV_VoLTE InterF HOSR Exec [CBBH],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],MV_4G Data Volume_GB,MV_VoLTE Traffic
,18-Mar-23,99.59,99.66,0.15,3242.21,343.01,96.89,100,6.82,-112.89,0,99.66,100,100,99.54,2.35,2.57,28.6604,1.37
,19-Mar-23,99.57,99.59,0.11,3107.16,528.93,96.94,100,7.41,-113.48,0,99.52,100,100,100,2.92,2.42,26.3356,1.33
,20-Mar-23,99.59,99.67,0.24,3024.46,258.46,97.02,100,7.64,-112.74,0,99.65,100,100,99.46,2.72,1.44,31.8293,1.82
CH_E_T1_HS_HPSC0113A_A,16-Mar-23,100,100,0,11131.74,1388.16,100,100,9.31,-118.05,,100,100,,100,15.86,16.54,2.9758,0.13
,17-Mar-23,100,100,0,5247.9,986.92,100,,9.93,-117.86,0,100,100,,100,1.34,0.85,2.7025,0.17
,18-Mar-23,100,99.7,0,4520.53,493.65,100,,7.01,-117.48,0,100,100,,100,0,0,2.6038,0.24
,19-Mar-23,100,100,0,7904.78,1803.84,100,,7.89,-117.85,0,100,100,,100,0.83,0.36,4.2738,0.12
,20-Mar-23,100,99.7,0.36,4396.65,462.6,100,,8.23,-117.53,0,100,100,,100,2.69,0.34,2.8873,0.15
CH_E_T1_HS_HPSC0113B_B,16-Mar-23,100,99.32,0.39,3956.75,229.5,100,100,6.78,-114.8,0,99.32,100,,97.67,7.72,4.51,2.3962,0.22
,17-Mar-23,99.33,99.76,0.17,7612.52,907.72,100,100,7.28,-115.83,0,100,100,,100,0.41,0.12,3.4606,0.36
,18-Mar-23,100,99.28,0,3586.16,168.1,100,,7.3,-114.5,100,98.9,100,,100,10.03,0.46,3.7227,0.32
,19-Mar-23,99.86,99.84,0,3632.65,179.06,100,100,6.66,-115.82,0,98.04,100,,100,7.34,0.31,3.5809,0.3
,20-Mar-23,99.44,99.78,0.55,4201.52,190.92,50,100,7.05,-116.13,0,98.08,100,,100,1.53,2.57,3.2628,0.26
CH_E_T1_HS_HPSC0113C_C,16-Mar-23,100,100,0,4023.88,535.39,0,,6.5,-117.17,0,100,100,,100,0.48,0,1.1865,0.06
,17-Mar-23,97.62,96.02,0,2615.07,262.96,100,,5.56,-117.16,0,100,100,,100,1.22,27.78,1.7233,0.05
,18-Mar-23,100,99.14,0,13441.21,420.76,100,100,8.29,-116.82,,100,100,,100,5.41,0.51,1.2546,0.04
,19-Mar-23,100,100,0,9060.86,680.01,100,100,11,-116.98,0,100,100,,100,0.22,2.42,1.4408,0.06
,20-Mar-23,100,99.31,0.47,5974.89,706.91,,,7.98,-116.74,,100,100,,100,1.41,0,1.385,0.03
CH_E_T1_HS_HPSC0131A_A,16-Mar-23,100,99.47,1.07,7798.62,170.13,92.11,100,8.73,-116.53,0,90,98.48,100,100,0.46,1.55,13.7983,9.31
,17-Mar-23,100,99.75,0.38,3219.17,94.12,100,100,7.18,-116.51,0,91.67,100,100,100,0.66,0.24,12.7085,7.74
,18-Mar-23,99.72,99.21,0.58,2631.07,291.18,98.66,100,7.91,-116.45,0,88.64,100,100,100,0.49,0.15,17.6895,8.2
,19-Mar-23,99.75,98.66,0.52,3744.15,176.51,96.61,,7.38,-116.82,0,97.92,100,100,100,0.19,0.31,16.4477,8.99
,20-Mar-23,100,99.53,0.66,6422.89,269.5,100,,8.82,-119.22,0,100,100,,,0,0,1.6478,0
CH_E_T1_HS_HPSC0131B_B,16-Mar-23,99.72,99.51,0.44,4240.45,274.84,98.86,100,7.72,-116.61,0,96.55,100,100,100,0.65,0.33,11.6862,4.58
,17-Mar-23,100,99.48,0.58,4289.78,99.59,96.99,100,8,-116.88,0,95.24,100,100,100,0.35,1.23,12.7356,4.72
,18-Mar-23,100,99.73,0.07,4608.78,101.61,98.75,100,8.09,-116.62,0,83.64,100,96,100,0.29,0.38,11.1476,5.77
,19-Mar-23,100,99.39,0.61,5342.21,99.47,98.17,100,7.94,-116.95,0,95.92,100,100,100,0.21,0.13,14.6779,5.28
,20-Mar-23,100,100,0.15,7904.39,145.64,100,,8.82,-119.1,0,81.82,,,,0.15,0.08,0.9445,0.1
CH_E_T1_HS_HPSC0131C_C,16-Mar-23,99.77,100,0.79,8389.48,126.87,91.72,,10.16,-115.82,0,100,100,27.27,,0.48,0.53,10.6272,2.19
,17-Mar-23,100,100,0,23149.16,44.6,94.74,,10.4,-115.92,33.33,100,100,100,100,0.25,0.3,13.5744,2.78
,18-Mar-23,99.54,100,0.26,13001.56,93.17,98.83,100,10.56,-115.56,0,99.07,100,100,100,0.75,0.22,9.8914,2.38
,19-Mar-23,100,100,0,16080.23,62.62,100,,9.38,-115.43,0,95.45,100,100,100,0.36,0.43,7.5471,2.08
,20-Mar-23,100,99.48,0.25,16283.62,105.23,100,,10.88,-118.45,,100,,,,,,1.5385,0
CH_E_T1_HS_HPSC0185A_A,16-Mar-23,99.82,99.81,0,6483.38,130.03,100,100,7.71,-115.47,0,98.89,100,100,100,0.19,0.34,3.2519,0.5
,17-Mar-23,99.68,99.64,0,9379,220.58,100,100,8.93,-115.53,0,100,100,100,100,0.56,0.03,4.6905,0.26
,18-Mar-23,100,99.92,0.4,25770.31,194.24,100,,10.55,-115.28,0,75,100,100,100,5,0.37,7.2955,0.42
,19-Mar-23,100,100,0.14,3486.37,171.95,100,100,6.74,-115.24,0,100,100,100,100,0.16,4.19,7.0417,0.83
,20-Mar-23,100,100,0,15979.84,828.81,100,100,10.62,-115.45,0,63.41,100,100,100,0.12,0.79,4.2912,0.37
CH_E_T1_HS_HPSC0185B_B,16-Mar-23,99.66,99.88,0.2,3341.42,181.29,100,100,6.78,-116.92,0,100,100,100,100,0.14,0.39,6.0864,1.15
,17-Mar-23,99.73,99.78,0.18,7071.78,180.63,96.49,100,8.14,-117.16,0,100,100,100,100,0.05,0.13,6.719,0.97
,18-Mar-23,100,99.67,0.09,3652.24,153.94,100,100,7.28,-116.42,0,109.84,100,,100,0.02,0.13,9.0404,1.72
,19-Mar-23,99.61,99.67,0.78,7804.85,178.61,95.83,100,8.41,-117.08,0,110.23,100,100,100,0.62,0.17,9.6376,2.05
,20-Mar-23,99.83,99.81,0.35,11242.89,109.91,100,100,9.33,-117.19,0,100.98,100,100,100,0.43,1.06,8.8106,1.37
CH_E_T1_HS_HPSC0185C_C,16-Mar-23,99.65,99.81,0.13,8998.11,347.17,99.25,100,9.84,-116.24,16.67,105.1,100,100,100,0.04,1.51,15.7771,1.75
,17-Mar-23,99.91,99.94,1.62,10776.6,199.16,97.3,100,10.27,-116.96,0,100,100,100,100,0.39,0.07,18.5901,2.62
,18-Mar-23,99.77,99.91,0.1,8468.31,117.79,100,,10.27,-116.06,0,100,100,100,100,0.05,1.41,15.1732,2.1
,19-Mar-23,99.94,99.89,0.08,7944.33,157.26,100,100,9.99,-116.86,0,100,100,,100,0.07,0.03,20.5612,3.23
,20-Mar-23,100,99.89,0.08,7019.63,116.86,90.48,100,9.33,-117.04,0,112.38,100,100,100,0.12,0.42,15.262,2.69
CH_E_T1_HS_HPSC0187A_A,16-Mar-23,100,99.42,0.19,3231.43,210.98,98.94,0,8.2,-115.93,0,100,100,100,100,2.93,5.17,14.5817,0.5
,17-Mar-23,99.88,99.72,0.15,1214.35,152.1,97.73,0,6.44,-116.11,0,99.71,100,100,100,5.53,1.02,20.9827,1.06
,18-Mar-23,100,99.88,0.07,3998.89,55.81,95.83,,8,-115.87,0,99.22,100,100,100,1.07,7.9,20.4059,1.03
,19-Mar-23,99.96,99.48,0.11,1836.76,130.66,98.45,0,6.28,-116,0,98.73,100,100,100,2.33,14.89,25.6004,0.79
,20-Mar-23,99.93,99.73,0.07,1492.48,92.13,99.4,0,6.43,-116.07,0,102.79,100,100,100,1.63,7.63,19.3345,0.92
CH_E_T1_HS_HPSC0187B_B,16-Mar-23,99.83,99.66,0.28,2406.22,102.62,95.83,0,8.05,-114.52,0,99.7,100,100,100,0.96,0.23,41.8258,2.15
,17-Mar-23,99.94,99.47,0.31,3989.6,122.4,83.12,0,8.82,-114.93,3.33,100,100,100,98.15,1.25,12.43,49.0355,3.38
,18-Mar-23,99.91,99.41,0.33,5721.15,317.23,100,0,8.84,-114.5,0,99.15,100,100,100,1.45,1.17,46.7378,2.28
,19-Mar-23,99.92,99.65,0.11,2305.66,147.29,96.77,0,8.18,-114.72,0,98.53,100,100,100,1.22,0.48,55.451,3.81
,20-Mar-23,99.71,99.62,0.29,1963.3,110.52,94.64,0,8.76,-114.93,0,100.35,99.25,100,100,0.6,0.75,52.6966,4.41
CH_E_T1_HS_HPSC0187C_C,16-Mar-23,100,99.84,0.19,2711.24,183.51,100,,5.94,-116.04,0,99.11,100,100,100,1.39,5.43,6.3851,0.24
,17-Mar-23,99.94,99.5,0.42,1126.88,65.35,98.77,100,5.69,-116.07,0,99.55,100,100,100,3.45,1.15,9.2059,0.67
,18-Mar-23,99.93,99.67,0.71,1244.06,88.78,98.42,,5.83,-115.8,0,100.56,100,100,100,3.1,0.97,9.4714,0.65
,19-Mar-23,99.93,99.93,0.13,1451.01,133.78,99.51,100,6.08,-115.92,50,99.47,100,100,100,5.79,2.81,14.0829,0.42
,20-Mar-23,99.84,99.8,0.13,1420.34,74.85,99.61,100,5.81,-116.23,0,99.49,100,100,100,1.86,6.02,12.1701,0.64
CH_E_T1_HS_HPSC0192A_A,16-Mar-23,99.87,99.18,0.65,1829.81,78.05,100,100,8.33,-115.56,0,77.39,98.76,100,100,3.48,1.15,40.3951,2.85
,17-Mar-23,99.84,99.62,0.24,2003.33,144.29,100,100,8.39,-115.99,0,99.23,100,,100,0.02,0.97,48.3322,5.17
,18-Mar-23,99.89,99.66,0.11,1912.13,135.53,96.67,100,7.94,-116.47,0,99.25,100,100,100,0.15,0.53,51.0269,2.83
,19-Mar-23,99.91,99.84,0.24,2469.95,368.97,100,100,8.41,-115.9,0,99.68,99.14,100,97.92,1.45,3.6,54.5187,2.52
,20-Mar-23,99.86,99.86,0.22,2565.53,184.22,94.29,100,8.36,-116.55,0,100,100,,100,0.13,0.01,51.686,3
CH_E_T1_HS_HPSC0192B_B,16-Mar-23,99.42,99.95,0.07,2104.71,101.25,94.85,,6.52,-116.55,9.3,96.57,99.32,100,100,0.99,5.55,10.1742,1.98
,17-Mar-23,100,99.71,0.17,2658.78,72.28,98.68,100,7.27,-116.63,0,99.51,100,100,100,0.18,0.29,9.4231,0.76
,18-Mar-23,99.72,98.87,0.84,3695.27,111.8,98.95,100,6.86,-116.58,0,95.88,100,100,100,0.07,0.54,9.3013,0.46
,19-Mar-23,99.9,98.97,0.42,2983.81,66.9,99.39,100,6.51,-116.14,0,98.78,100,100,100,0.15,0.25,10.1189,0.78
,20-Mar-23,100,99.94,0.27,3421.86,91.82,100,100,6.86,-116.74,0,97.42,100,100,100,0.23,0.26,8.3432,1.06
CH_E_T1_HS_HPSC0192C_C,16-Mar-23,99.55,98.3,1.31,2619.73,41.1,99.61,100,6.82,-116.52,2.78,92.24,100,100,100,4.09,17.05,7.6698,1.45
,17-Mar-23,99.69,99.83,0.66,2355.06,90.21,99.61,100,6.31,-116.68,0,100,100,100,100,0.16,0.04,10.9485,2.13
,18-Mar-23,99.06,99.07,1.24,2905.86,121.53,98.16,100,6.51,-116.64,0,100,100,,100,0.06,0,9.4655,0.5
,19-Mar-23,99.75,99.74,0.42,5980.26,170.06,97.76,100,7.17,-116.22,20,97.33,100,100,100,0.29,20.73,13.8727,0.36
,20-Mar-23,99.74,99.71,0.45,2635.69,48.71,100,100,6.72,-116.82,0,98.96,100,100,100,0.17,0.16,7.7173,0.81
CH_E_T1_HS_HPSC0193A_A,16-Mar-23,100,99.76,0.26,13485.36,516.62,99.18,100,10.59,-115.28,0,99.63,100,100,100,0.24,0.21,7.3649,0.91
,17-Mar-23,99.73,99.85,0.52,9962.68,457.1,92.47,100,9.43,-116.59,0,98.48,100,100,100,5.1,2.96,8.097,0.65
,18-Mar-23,100,99.82,0,13505.2,182.15,85.53,,9.65,-115.71,0,100,100,100,100,0.44,0.3,7.2462,0.45
,19-Mar-23,100,99.84,0.14,9461.22,577.57,98.63,100,9.35,-116.85,0,99.5,100,100,100,0.75,0.35,6.4171,0.53
,20-Mar-23,100,100,0.07,7210.75,271.87,88.19,,9.32,-116.59,0,99.35,98.04,100,100,0.74,0.62,7.205,0.75
CH_E_T1_HS_HPSC0193B_B,16-Mar-23,99.67,99.6,0.18,13228.57,188.18,100,100,8.65,-115.36,0,98.2,100,50,100,0.98,0.31,10.083,1.27
,17-Mar-23,99.93,99.83,0.05,5466.71,197.08,100,,7.94,-115.4,16.67,98.17,100,100,100,0.29,5.83,11.3838,1.25
,18-Mar-23,100,99.58,0.26,3658.43,99.38,100,,6.84,-115.47,0,97.76,100,,100,1.14,7.78,7.1712,0.65
,19-Mar-23,99.89,99.87,0.1,5053.41,90.77,100,100,7.67,-115.56,0,96.35,100,100,100,0.42,0.19,15.8379,1.21
,20-Mar-23,100,99.74,0.11,2806.12,130.26,100,100,7.09,-115.76,0,98.71,100,,100,0.03,0.95,9.8337,1.39
CH_E_T1_HS_HPSC0193C_C,16-Mar-23,99.68,99.87,0,4193.08,155.74,100,100,7.86,-116.84,0,98.98,100,100,100,0.12,0.04,6.7492,0.76
,17-Mar-23,99.65,99.48,0.32,5394.16,195.42,100,100,7.57,-117.07,0,99.13,100,100,100,0.95,0.65,6.4163,0.86
,18-Mar-23,99.78,99.73,0.11,4156.53,286.72,96.61,100,7.17,-116.94,0,98.59,100,100,100,0.53,2.09,7.0563,0.56
,19-Mar-23,99.68,99.81,0,5797.32,157.3,100,100,7.61,-117.32,0,97.5,100,100,100,0.01,0.12,6.4984,0.72
,20-Mar-23,99.51,99.82,0.37,4718.32,248.53,98.91,100,7.49,-117.15,0,97.61,98.36,,100,0.59,7.74,7.2193,0.68
CH_E_T1_HS_HPSC0197A_A,16-Mar-23,99.62,99.18,0.43,2055.29,90.69,86.54,100,7.17,-117.31,0,98.66,100,100,100,0.45,0.12,21.7456,3
,17-Mar-23,99.84,99.79,0.09,1846.12,147.7,100,100,7.09,-117.27,0,100.9,100,100,100,0.2,1.03,28.5945,2.21
,18-Mar-23,99.95,99.55,0.06,3713.98,145.54,96.18,100,7.48,-117.26,0,100.93,100,100,100,0.18,1.38,29.164,2.39
,19-Mar-23,99.92,99.77,0.25,2562.36,207.21,91.09,100,7.59,-116.99,5,99.6,100,100,100,0.59,21.14,36.3518,2.76
,20-Mar-23,99.88,99.6,0.36,1951.64,100.68,95.65,100,7.14,-117.5,0,112.5,100,,100,0.19,1.92,32.8649,2.2
CH_E_T1_HS_HPSC0197B_B,16-Mar-23,100,99.73,0,1412.31,147.23,97.67,100,6.7,-117.05,0,100,100,100,100,0.09,4.51,14.1176,1.01
,17-Mar-23,100,99.8,0.07,1462,146.64,100,100,7.39,-117.19,0,100,100,100,100,0.17,0.05,16.0581,0.9
,18-Mar-23,99.95,99.91,0.06,2305.47,165.79,100,100,7.2,-117,0,100.48,100,100,100,0.25,0.93,17.8641,0.92
,19-Mar-23,100,99.66,0.2,4196.11,406.89,100,100,7.67,-116.69,0,97.65,100,100,100,1.24,0.17,31.2574,1.83
,20-Mar-23,100,99.83,0.04,1649.13,141.75,100,100,7.04,-117.53,0,125.81,100,100,100,0.04,0.03,19.2449,1.48
CH_E_T1_HS_HPSC0197C_C,16-Mar-23,100,99.95,0.06,4703.26,193.72,100,100,8.05,-115.87,0,99.01,100,100,100,0.28,2.59,13.346,0.56
,17-Mar-23,100,99.77,0.13,7167.79,229.86,100,100,8.21,-116,0,100,100,100,100,0.27,0.08,12.8794,1.06
,18-Mar-23,99.76,99.67,0.22,4522.17,199.66,100,100,8.54,-115.81,0,99.32,100,100,100,2.34,1.04,13.8203,0.65
,19-Mar-23,99.82,99.72,0.15,5247.79,199.19,90,100,8.86,-115.44,0,99.42,100,100,100,0.48,0.3,22.983,0.6
,20-Mar-23,99.81,99.49,0.12,7606.83,200.11,100,100,8.42,-116.11,0,100,100,100,100,0.09,0.02,11.6456,0.54
CH_E_T1_HS_HPSC0198A_A,16-Mar-23,98.98,98.7,0.73,1999.63,104.77,100,100,8.16,-115.89,0,97.92,100,100,97.03,0.38,2.63,37.5322,5.09
,17-Mar-23,98.31,99.44,0.34,2454.94,111.6,18.8,100,7.96,-115.95,0,96.94,100,100,98.4,0.47,1.97,41.1445,5.26
,18-Mar-23,99.8,99.83,0.09,5165.11,120.86,94.12,100,8.55,-115.87,0,99.6,100,100,98.91,0.23,0.65,40.2109,7.49
,19-Mar-23,99.08,99.64,0.35,4799.29,111.81,53.95,100,8.78,-116.25,0,98.19,100,100,98.15,0.32,0.22,39.414,5.69
,20-Mar-23,99.25,99.51,0.46,2428.43,109.72,85.33,100,8.7,-116.15,0,99.38,100,100,100,0.32,1.07,38.3073,5.32
CH_E_T1_HS_HPSC0198B_B,16-Mar-23,99.01,99.1,0.36,3035.97,130.22,100,,6.15,-117.01,0,98.18,100,100,100,1.07,0.11,3.1744,1.58
,17-Mar-23,100,100,0,10724.42,150.45,100,,10.3,-116.8,0,78.79,100,100,100,0.75,0.52,4.1837,0.96
