Short name,,MV_RRC Setup Success Rate [CDBH],MV_ERAB Setup Success Rate [CDBH],MV_PS Drop Call Rate % [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_UL User Throughput_Kbps [CDBH],MV_PS handover success rate [LTE Intra System] [CDBH],MV_CSFB Redirection Success Rate [CDBH],MV_E-UTRAN Average CQI [CDBH],UL RSSI PUCCH,MV_VoLTE DCR [CBBH],MV_PS handover success rate [LTE Inter System] [CDBH],MV_VoLTE ERAB Setup Success Rate [CBBH],MV_VoLTE IntraF HOSR Exec [CBBH],MV_VoLTE InterF HOSR Exec [CBBH],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],MV_4G Data Volume_GB,MV_VoLTE Traffic,MV_Average number of used DL PRBs [CDBH],UL RSSI PUCCH,CSFB Redirection Success Rate [CDBH],PS handover success rate_Nom [LTE Intra System] [CDBH],PS handover success rate_Denom [LTE Intra System] [CDBH],PS handover success rate_Nom [LTE Inter System] [CDBH],PS handover success rate_Denom [LTE Inter System] [CDBH],VoLTE DCR_Nom [CBBH],PS Drop Call Rate_Nom [CDBH],VoLTE ERAB Setup Success Rate_NOM [CBBH],VoLTE ERAB Setup Success Rate_Denom [CBBH],VoLTE IntraF HOSR Exec_Nom [CBBH],VoLTE IntraF HOSR Exec_Denom [CBBH],VoLTE InterF HOSR Exec_Nom [CBBH],VoLTE InterF HOSR Exec_Denom [CBBH],VoLTE DCR_Denom [CBBH],PS Drop Call Rate_Denom [CDBH]
CH_E_T1_HS_HPSC0187A_A,24-Apr-23,99.63,98.84,0.26,2363.49,203.45,91.18,0,6.74,-116.35,0,98.82,100,100,100,3.79,7.8,4.1037,0.27,47.48,,,1054,1156,28560,28900,0,2,45,45,1,1,,43,5,763
,25-Apr-23,100,99.88,0.07,5630.56,210.76,98.99,0,8.16,-115.59,0,133.33,100,100,100,0.52,2,5.6815,0.49,21.19,,,9702,9801,2756,2067,0,1,37,37,1,1,,38,4,1521
,26-Apr-23,99.81,99.38,0,3900.96,212.17,98.46,0,7.03,-115.85,0,98.08,100,,97.3,0.45,0.47,4.4188,0.37,30.36,,,4160,4225,23868,24336,0,0,37,37,0,0,,37,4,715
,27-Apr-23,99.86,99.24,0.51,2959.71,137.74,97.14,0,7.44,-115.56,0,98.71,100,,100,1.09,2.44,4.307,0.38,45.28,,,1190,1225,53128,53824,0,5,41,41,0,0,,38,6,982
,28-Apr-23,99.81,100,0,6694.73,198.69,100,0,7.95,-115.22,0,100,100,100,100,0.34,5.33,5.9816,0.37,24.59,,,1089,1089,23104,23104,0,0,22,22,3,3,,19,3,671
CH_E_T1_HS_HPSC0187B_B,24-Apr-23,99.81,99.22,0.35,7241.8,147.11,95.83,0,8.87,-115.16,0,100,100,100,100,3.68,3.48,14.4231,1.35,33.71,,,4968,5184,57121,57121,0,8,50,50,1,1,,46,11,2303
,25-Apr-23,99.94,99.07,0.35,5479,64.64,56.52,0,8.7,-114.98,0,99.48,98.77,100,100,1.08,16.89,10.4182,1.39,27.69,,,1196,2116,36672,36864,0,9,80,81,2,2,,83,15,2595
,26-Apr-23,99.87,99.61,0.41,6792.87,98.49,93.48,0,8.92,-115.09,0,100,100,100,100,1.31,0.07,10.9946,1.21,43.29,,,1978,2116,45796,45796,0,9,41,41,1,1,,40,5,2175
,27-Apr-23,99.7,99.28,0.65,7726.69,106.57,93.33,0,8.19,-115.08,0,99.08,100,100,100,8.27,4.35,10.1052,1.14,37.9,,,1890,2025,47088,47524,0,13,57,57,1,1,,49,13,2014
,28-Apr-23,99.82,99.66,0.63,3739.46,90.04,94.87,0,8.49,-114.6,0,96.51,100,100,100,0.34,0.06,12.3116,1.34,47.17,,,1443,1521,28552,29584,0,9,62,62,-12,-12,,62,6,1420
CH_E_T1_HS_HPSC0187C_C,24-Apr-23,100,100,0,2733.52,239.45,96.97,100,5.4,-116.28,0,97.73,100,,100,1.87,0.56,2.4802,0.29,32.76,,,4224,4356,7568,7744,0,0,23,23,0,0,,20,4,395
,25-Apr-23,100,100,0,6204.89,203.8,98.97,100,9.03,-115.74,0,116.67,100,100,100,0.18,0.72,4.3492,0.51,19.54,,,9312,9409,812,696,0,0,29,29,7,7,,20,4,1582
,26-Apr-23,100,100,0.59,2903.1,58.94,98.41,,6.83,-115.91,0,98.31,100,,100,0.27,0.66,3.2488,0.44,26.35,,,3906,3969,13688,13924,0,4,20,20,0,0,,17,2,679
,27-Apr-23,100,99.65,0.24,4980.63,175.75,100,100,7.66,-115.96,0,98.08,100,,100,0.02,0.24,2.8095,0.75,22.51,,,961,961,10608,10816,0,1,19,19,0,0,,13,8,411
,28-Apr-23,100,99.74,0,4001.75,206.96,100,100,7.17,-115.25,0,98.86,100,100,100,0.46,1,2.5189,0.24,19.99,,,324,324,7656,7744,0,0,29,29,1,1,,27,3,602
CH_E_T1_HS_HPSC0192A_A,24-Apr-23,99.89,99.79,0.18,2026.39,143.31,100,100,8.97,-116.05,0,99.56,100,100,100,0.64,3.9,42.1325,2.96,97.35,,,49,49,50400,50625,0,8,72,72,1,1,,60,17,4447
,25-Apr-23,99.45,98.84,0.44,6997.5,150.58,83.33,100,9.72,-115.94,0,96.27,100,100,100,0.16,1.71,29.6118,3.45,64.46,,,30,36,24800,25760,0,15,60,60,1,1,,50,9,3432
,26-Apr-23,100,99.9,0.13,3250.64,172.74,87.5,100,8.41,-115.39,0,99.33,100,100,100,0.23,0.84,26.1849,2.1,91.67,,,56,64,22052,22201,0,5,92,92,5,5,,85,16,3855
