"Short name",,"4G_ECGI","TA Sampls > 1.5 Km % [CDBH]","MV_RRC Setup Success Rate [CDBH]","ERAB Setup Success Rate [CDBH]","MV_PS Drop Call Rate % [CDBH]","MV_UL User Throughput_Kbps [CDBH]","MV_DL User Throughput_Kbps [CDBH]","MV_E-UTRAN Average CQI [CDBH]","MV_PS handover success rate [LTE Intra System] [CDBH]","MV_PS handover success rate [LTE Inter System] [CDBH]","MV_CSFB Redirection Success Rate [CDBH]","Paging record discarded At eNodeB [CDBH]","MV_Average number of used DL PRBs [CDBH]","MV_VoLTE ERAB Setup Success Rate [CBBH]","MV_VoLTE DCR [CBBH]","MV_VoLTE Packet Loss DL [CBBH]","MV_VoLTE Packet Loss UL [CBBH]","VoLTE SRVCC SR [CBBH]","MV_PUSCH SINR [CBBH]","MV_VoLTE IntraF HOSR Exec [CBBH]","MV_VoLTE InterF HOSR Exec [CBBH]","MV_VoLTE SRVCC Per Call Rate [CBBH]","UL RSSI","MV_4G Data Volume_GB","MV_VoLTE Traffic","VoLTE InterF HOSR Exec_Denom [CBBH]","VoLTE InterF HOSR Exec_Nom [CBBH]","MV_VoLTE SRVCC Per Call Rate_Nom [CBBH]","MV_VoLTE SRVCC Per Call Rate_Denom [CBBH]","MV_Average number of used UL PRBs [CDBH]","PS handover success rate_NOM [LTE Intra System] [CDBH]","PS handover success rate_DENOM [LTE Intra System] [CDBH]","PS handover success rate_NOM [LTE Inter System] [CDBH]","PS handover success rate_DENOM [LTE Inter System] [CDBH]","VoLTE Packet Loss DL_NOM [CBBH]","VoLTE Packet Loss UL_NOM [CBBH]","MV_VoLTE IntraF HOSR Exec_Denom [CBBH]","MV_VoLTE IntraF HOSR Exec_Nom [CBBH]"
,"27 Feb 23","404-96-801479-62",0.08,99.91,99.82,0.17,,,10.33,98.77,94.27,100.00,0.00,53.57,100.00,0.00,,,,,100.00,100.00,0.00,-106.82,43.3536,0.60,,,0.00,150.00,46.44,240.00,243.00,839.00,890.00,,,,
"HR_E_T2_OM_DDKH46C_C","23 Feb 23","404-96-234546-3",59.43,99.81,99.81,0.11,410.77,8567.47,9.68,94.39,99.39,0.00,0.00,52.03,100.00,0.00,0.10,7.39,,3.43,100.00,100.00,0.00,-106.38,55.6941,0.53,,,0.00,101.00,53.27,421.00,446.00,647.00,651.00,4.00,145.00,,
,"24 Feb 23","404-96-234546-3",53.67,99.77,99.34,0.22,391.81,4380.15,9.53,95.04,99.26,100.00,0.00,67.33,98.90,0.00,0.06,4.31,,7.97,100.00,100.00,0.00,-106.69,57.4251,0.59,,,0.00,91.00,56.81,556.00,585.00,675.00,680.00,4.00,196.00,,
,"25 Feb 23","404-96-234546-3",38.39,99.68,99.70,0.27,409.37,5754.85,10.04,91.19,97.33,0.00,0.00,62.44,100.00,0.00,2.13,4.54,,10.81,,100.00,0.00,-108.03,57.9593,0.57,,,0.00,98.00,42.51,414.00,454.00,546.00,561.00,132.00,105.00,,
,"26 Feb 23","404-96-234546-3",39.96,99.82,99.95,0.34,579.28,3641.82,9.18,94.89,97.41,0.00,0.00,83.52,100.00,0.00,0.33,1.44,,14.15,100.00,98.26,0.00,-108.48,68.6882,0.51,,,0.00,110.00,44.55,446.00,470.00,639.00,656.00,14.00,23.00,,
,"27 Feb 23","404-96-234546-3",38.59,99.66,99.88,0.15,,,9.96,83.67,97.39,0.00,0.00,56.53,100.00,0.00,,,,,100.00,100.00,0.00,-105.70,34.8544,0.64,,,0.00,140.00,49.69,333.00,398.00,560.00,575.00,,,,
"HR_E_T2_OM_KST479B_B","23 Feb 23","404-96-801479-2",0.00,100.00,100.00,0.21,2124.74,12687.05,9.67,98.95,99.81,0.00,0.00,63.48,100.00,0.00,0.00,1.22,,7.55,100.00,100.00,0.00,-106.68,47.0699,0.52,,,0.00,83.00,45.38,189.00,191.00,1067.00,1069.00,0.00,37.00,,
,"24 Feb 23","404-96-801479-2",0.13,99.87,99.73,0.04,575.96,15790.78,10.05,99.57,99.68,0.00,0.00,42.84,100.00,0.00,0.00,0.78,,4.22,100.00,100.00,0.00,-107.30,42.4291,0.49,,,0.00,96.00,36.97,234.00,235.00,619.00,621.00,0.00,9.00,,
,"25 Feb 23","404-96-801479-2",0.45,100.00,100.00,0.18,1255.33,18661.82,10.10,100.00,100.00,0.00,0.00,41.66,100.00,0.00,0.09,3.07,,15.05,,100.00,0.00,-108.61,48.4749,0.47,,,0.00,93.00,36.18,202.00,202.00,427.00,427.00,3.00,34.00,,
,"26 Feb 23","404-96-801479-2",0.31,100.00,100.00,0.10,810.89,13497.15,9.98,98.99,99.64,100.00,0.00,46.57,100.00,0.00,0.09,4.65,,10.92,100.00,100.00,0.00,-108.71,50.3269,0.38,,,0.00,79.00,29.14,196.00,198.00,551.00,553.00,3.00,38.00,,
