"Short name",,"4G_ECGI","TA Sampls > 1.5 Km % [CDBH]","MV_RRC Setup Success Rate [CDBH]","ERAB Setup Success Rate [CDBH]","MV_PS Drop Call Rate % [CDBH]","MV_UL User Throughput_Kbps [CDBH]","MV_DL User Throughput_Kbps [CDBH]","MV_E-UTRAN Average CQI [CDBH]","MV_PS handover success rate [LTE Intra System] [CDBH]","MV_PS handover success rate [LTE Inter System] [CDBH]","MV_CSFB Redirection Success Rate [CDBH]","Paging record discarded At eNodeB [CDBH]","MV_Average number of used DL PRBs [CDBH]","MV_VoLTE ERAB Setup Success Rate [CBBH]","MV_VoLTE DCR [CBBH]","MV_VoLTE Packet Loss DL [CBBH]","MV_VoLTE Packet Loss UL [CBBH]","VoLTE SRVCC SR [CBBH]","MV_PUSCH SINR [CBBH]","MV_VoLTE IntraF HOSR Exec [CBBH]","MV_VoLTE InterF HOSR Exec [CBBH]","MV_VoLTE SRVCC Per Call Rate [CBBH]","UL RSSI","MV_4G Data Volume_GB","MV_VoLTE Traffic","VoLTE InterF HOSR Exec_Denom [CBBH]","VoLTE InterF HOSR Exec_Nom [CBBH]","MV_VoLTE SRVCC Per Call Rate_Nom [CBBH]","MV_VoLTE SRVCC Per Call Rate_Denom [CBBH]","MV_Average number of used UL PRBs [CDBH]","PS handover success rate_NOM [LTE Intra System] [CDBH]","PS handover success rate_DENOM [LTE Intra System] [CDBH]","PS handover success rate_NOM [LTE Inter System] [CDBH]","PS handover success rate_DENOM [LTE Inter System] [CDBH]","VoLTE Packet Loss DL_NOM [CBBH]","VoLTE Packet Loss UL_NOM [CBBH]","MV_VoLTE IntraF HOSR Exec_Denom [CBBH]","MV_VoLTE IntraF HOSR Exec_Nom [CBBH]"
,"21 Feb 23","404-96-801479-62",0.12,99.83,99.86,0.11,723.55,6667.09,9.51,99.67,99.73,0.00,0.00,68.85,100.00,0.00,0.86,1.62,,3.62,100.00,100.00,0.00,-108.77,54.4354,0.50,,,0.00,114.00,30.43,306.00,307.00,1103.00,1106.00,38.00,20.00,,
"HR_E_T2_OM_DDKH46C_C","17 Feb 23","404-96-234546-3",41.52,99.84,99.67,0.33,471.88,7769.50,9.71,94.22,99.28,0.00,0.00,58.50,100.00,0.00,0.07,6.09,,7.47,100.00,100.00,0.00,-112.62,64.0994,1.04,,,0.00,158.00,46.95,212.00,225.00,687.00,692.00,11.00,496.00,,
,"18 Feb 23","404-96-234546-3",54.92,99.92,99.71,0.10,464.20,7573.38,9.98,93.69,99.25,100.00,0.00,59.62,100.00,0.00,0.11,2.04,,4.61,100.00,100.00,0.00,-104.15,69.5031,0.67,,,0.00,130.00,47.66,742.00,792.00,932.00,939.00,6.00,36.00,,
,"19 Feb 23","404-96-234546-3",48.81,99.79,99.77,0.12,482.37,6896.24,9.43,95.37,99.46,0.00,0.00,50.98,100.00,0.00,0.61,6.06,,2.56,100.00,100.00,0.00,-105.01,60.0264,0.68,,,0.00,144.00,41.57,598.00,627.00,730.00,734.00,34.00,97.00,,
,"20 Feb 23","404-96-234546-3",57.27,99.74,99.81,0.10,440.71,6914.34,9.56,94.80,99.41,100.00,0.00,58.62,100.00,80.00,0.13,65.71,,6.73,100.00,99.48,0.00,-102.63,49.6683,0.76,,,0.00,142.00,39.17,711.00,750.00,848.00,853.00,15.00,3932.00,,
,"21 Feb 23","404-96-234546-3",55.79,99.89,99.67,0.17,493.72,13221.97,10.56,91.11,97.95,0.00,0.00,45.22,100.00,0.00,0.02,17.05,,10.71,100.00,100.00,0.00,-108.33,52.3714,0.58,,,0.00,101.00,30.86,492.00,540.00,383.00,391.00,1.00,249.00,,
"HR_E_T2_OM_KST479B_B","17 Feb 23","404-96-801479-2",0.16,99.78,100.00,0.21,1529.01,15942.37,9.52,97.44,99.35,0.00,0.00,70.75,100.00,0.00,1.32,0.98,,11.92,100.00,100.00,0.00,-110.92,60.1325,1.08,,,0.00,158.00,36.20,190.00,195.00,1065.00,1072.00,353.00,130.00,,
,"18 Feb 23","404-96-801479-2",2.17,99.03,100.00,0.22,774.53,17597.61,11.89,100.00,96.04,0.00,0.00,37.73,100.00,0.00,0.79,0.74,,12.38,100.00,100.00,0.00,-104.96,47.0755,0.55,,,0.00,89.00,14.72,72.00,72.00,97.00,101.00,74.00,18.00,,
,"19 Feb 23","404-96-801479-2",0.08,99.78,100.00,0.00,3254.38,22153.74,11.66,100.00,99.32,0.00,0.00,31.49,100.00,0.00,0.04,1.84,,13.85,100.00,100.00,0.00,-102.71,45.2629,0.39,,,0.00,61.00,50.13,29.00,29.00,145.00,146.00,2.00,42.00,,
,"20 Feb 23","404-96-801479-2",0.00,100.00,99.83,0.20,492.55,11010.64,10.13,98.00,99.86,0.00,0.00,50.00,100.00,0.00,0.32,0.04,,14.15,100.00,100.00,0.00,-103.76,39.7103,0.60,,,0.00,98.00,38.58,147.00,150.00,718.00,719.00,31.00,3.00,,
,"21 Feb 23","404-96-801479-2",0.47,100.00,98.18,0.00,580.85,40727.99,11.40,65.00,97.03,100.00,0.00,22.39,100.00,0.00,0.00,4.38,,14.71,80.00,100.00,0.00,-106.74,48.7452,0.52,,,0.00,111.00,13.13,26.00,40.00,98.00,101.00,0.00,77.00,,
"HR_ZQ_F1_OM_GHNA26A_A","17 Feb 23","404-96-245626-31",0.00,100.00,100.00,0.02,2442.38,23079.47,11.03,100.00,99.87,100.00,0.00,21.77,100.00,0.00,0.01,0.02,,13.81,100.00,99.19,0.00,-118.35,40.3532,40.43,,,0.00,163.00,9.86,123.00,123.00,740.00,741.00,37.00,84.00,,
,"18 Feb 23","404-96-245626-31",0.00,100.00,99.90,0.04,1068.99,14991.15,10.50,100.00,96.23,100.00,0.00,30.34,100.00,0.00,0.02,0.02,,12.95,100.00,99.12,0.00,-118.40,36.1838,38.57,,,0.00,188.00,8.33,140.00,140.00,995.00,1034.00,81.00,85.00,,
