"Short name",,"4G_ECGI","TA Sampls > 1.5 Km % [CDBH]","MV_RRC Setup Success Rate [CDBH]","ERAB Setup Success Rate [CDBH]","MV_PS Drop Call Rate % [CDBH]","MV_UL User Throughput_Kbps [CDBH]","MV_DL User Throughput_Kbps [CDBH]","MV_E-UTRAN Average CQI [CDBH]","MV_PS handover success rate [LTE Intra System] [CDBH]","MV_PS handover success rate [LTE Inter System] [CDBH]","MV_CSFB Redirection Success Rate [CDBH]","Paging record discarded At eNodeB [CDBH]","MV_Average number of used DL PRBs [CDBH]","MV_VoLTE ERAB Setup Success Rate [CBBH]","MV_VoLTE DCR [CBBH]","MV_VoLTE Packet Loss DL [CBBH]","MV_VoLTE Packet Loss UL [CBBH]","VoLTE SRVCC SR [CBBH]","MV_PUSCH SINR [CBBH]","MV_VoLTE IntraF HOSR Exec [CBBH]","MV_VoLTE InterF HOSR Exec [CBBH]","MV_VoLTE SRVCC Per Call Rate [CBBH]","UL RSSI","MV_4G Data Volume_GB","MV_VoLTE Traffic","VoLTE InterF HOSR Exec_Denom [CBBH]","VoLTE InterF HOSR Exec_Nom [CBBH]","MV_VoLTE SRVCC Per Call Rate_Nom [CBBH]","MV_VoLTE SRVCC Per Call Rate_Denom [CBBH]","MV_Average number of used UL PRBs [CDBH]","PS handover success rate_NOM [LTE Intra System] [CDBH]","PS handover success rate_DENOM [LTE Intra System] [CDBH]","PS handover success rate_NOM [LTE Inter System] [CDBH]","PS handover success rate_DENOM [LTE Inter System] [CDBH]","VoLTE Packet Loss DL_NOM [CBBH]","VoLTE Packet Loss UL_NOM [CBBH]","MV_VoLTE IntraF HOSR Exec_Denom [CBBH]","MV_VoLTE IntraF HOSR Exec_Nom [CBBH]"
,"19 Feb 23","404-96-245626-33",1.40,100.00,100.00,0.07,881.79,10626.75,9.49,99.64,94.61,0.00,0.00,37.50,100.00,0.61,0.03,0.12,,12.70,100.00,95.31,0.00,-117.10,34.9486,39.94,,,0.00,164.00,11.23,279.00,280.00,1334.00,1410.00,179.00,529.00,,
"HR_ZQ_F1_OM_GHNA26D_D","15 Feb 23","404-96-245626-34",0.00,100.00,100.00,0.00,1535.08,17456.76,9.86,99.13,,0.00,0.00,27.70,100.00,0.00,0.00,0.05,,11.90,100.00,,0.00,-119.90,20.8314,25.04,,,0.00,72.00,5.56,114.00,115.00,0.00,0.00,12.00,129.00,,
,"16 Feb 23","404-96-245626-34",0.00,100.00,100.00,0.00,2908.09,33105.02,9.91,100.00,,0.00,0.00,12.08,100.00,0.00,0.02,0.03,,12.98,100.00,,0.00,-119.77,20.5480,25.18,,,0.00,101.00,6.54,186.00,186.00,0.00,0.00,86.00,77.00,,
,"17 Feb 23","404-96-245626-34",0.00,100.00,100.00,0.00,1793.32,32351.97,11.44,99.38,,100.00,0.00,18.11,100.00,0.00,0.03,0.00,,13.90,100.00,,0.00,-119.84,19.8534,21.71,,,0.00,127.00,5.78,160.00,161.00,0.00,0.00,79.00,8.00,,
,"18 Feb 23","404-96-245626-34",0.00,100.00,100.00,0.00,1648.55,16711.07,10.42,100.00,,100.00,0.00,18.47,100.00,0.00,0.00,0.07,,14.05,100.00,,0.00,-119.81,17.1414,20.11,,,0.00,81.00,7.15,228.00,228.00,0.00,0.00,13.00,166.00,,
,"19 Feb 23","404-96-245626-34",0.00,100.00,99.91,0.04,5128.28,40127.65,11.77,100.00,,100.00,0.00,12.49,100.00,0.00,0.02,0.01,,13.63,100.00,,0.00,-119.70,20.1426,15.87,,,0.00,48.00,5.53,153.00,153.00,0.00,0.00,70.00,14.00,,
"HR_ZQ_F1_OM_HSSR78A_A","15 Feb 23","404-96-902178-31",0.14,99.99,99.98,0.08,4009.49,3548.81,8.82,99.47,99.74,100.00,0.00,77.35,100.00,0.15,0.03,0.37,,12.52,99.80,98.87,0.00,-115.49,66.8892,199.14,,,0.00,1298.00,25.41,3776.00,3796.00,13736.00,13772.00,1004.00,8458.00,,
,"16 Feb 23","404-96-902178-31",0.14,99.95,99.96,0.06,11338.35,4952.90,9.11,99.62,99.87,100.00,0.00,59.98,99.92,0.08,0.04,0.34,,11.74,99.88,98.90,0.00,-115.50,77.4700,197.47,,,0.00,1253.00,28.73,2646.00,2656.00,8485.00,8496.00,1187.00,7382.00,,
,"17 Feb 23","404-96-902178-31",0.18,99.96,99.95,0.08,3945.12,1689.14,8.07,99.65,99.71,100.00,0.00,92.97,100.00,0.00,0.04,0.26,,11.83,99.48,98.40,0.00,-115.48,73.8747,203.49,,,0.00,1229.00,27.35,4013.00,4027.00,13577.00,13617.00,1322.00,6224.00,,
,"18 Feb 23","404-96-902178-31",0.22,99.94,99.99,0.09,4761.44,2767.88,7.53,99.64,99.42,100.00,0.00,82.96,100.00,0.13,0.06,0.48,,10.37,98.45,98.84,0.00,-115.37,62.3908,140.59,,,0.00,757.00,20.95,3041.00,3052.00,6557.00,6595.00,1078.00,6846.00,,
