Short name,,MV_RRC Setup Success Rate [CDBH],MV_ERAB Setup Success Rate [CDBH],MV_PS Drop Call Rate % [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_UL User Throughput_Kbps [CDBH],MV_PS handover success rate [LTE Intra System] [CDBH],MV_CSFB Redirection Success Rate [CDBH],MV_E-UTRAN Average CQI [CDBH],UL RSSI PUCCH,MV_VoLTE DCR [CBBH],MV_PS handover success rate [LTE Inter System] [CDBH],MV_VoLTE ERAB Setup Success Rate [CBBH],MV_VoLTE IntraF HOSR Exec [CBBH],MV_VoLTE InterF HOSR Exec [CBBH],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],MV_4G Data Volume_GB,MV_VoLTE Traffic
,14-Mar-23,99.97,99.98,0.14,9365.84,1039.96,99.84,0,9.23,,0,99.81,100,100,,0.03,0.01,118.5424,3.5
,15-Mar-23,99.98,99.97,0.01,9793.08,1008.45,99.84,0,8.98,,0,99.29,100,100,,0.03,0.01,122.8573,5.28
,16-Mar-23,99.93,99.93,0.07,9452.68,836.99,99.8,0,9.18,,0,99.82,100,100,100,0.02,0.03,122.1848,4.37
,17-Mar-23,99.93,99.96,0.06,7057.06,948.18,99.91,0,9.14,,0,99.56,100,100,,0.1,1.35,127.0096,4.73
CH_ZQ_T2_OM_AYAN31A_A,13-Mar-23,100,99.92,0,10414.91,450.02,100,0,8.8,,0,100,98.98,100,,0.38,0.22,91.4678,2.25
,14-Mar-23,99.96,99.98,0.02,7839.19,652.64,99.83,0,8.33,,0,100,100,100,100,0.09,0.06,92.5946,2.91
,15-Mar-23,99.99,99.92,0.01,6975.27,843.74,100,0,8.22,,0,99.93,100,100,100,0.22,0.05,99.5563,2.37
,16-Mar-23,99.97,99.91,0,6935.53,680.34,100,0,8.47,,0,99.68,100,100,,0.06,0.01,105.299,2.8
,17-Mar-23,99.95,99.93,0.01,7352.92,701.66,100,0,8.13,,0,100,100,100,,0.1,0.02,104.6502,2.72
CH_ZQ_T2_OM_AYAN31B_B,13-Mar-23,99.98,99.93,0,5383.58,349.43,98.94,0,8.46,,0,100,100,100,,0.03,0.01,78.9943,1.43
,14-Mar-23,100,99.9,0,6619.6,590.93,100,0,8.03,,0,99.81,100,100,100,0,0,77.3725,1.29
,15-Mar-23,100,99.93,0,9731.04,810.92,100,0,9.01,,0,99.61,100,100,,0.06,0.02,79.3095,1.35
,16-Mar-23,99.63,99.77,0,10494.47,1181.79,98.17,0,9.19,,0,98.99,100,100,,0.09,0.03,71.3786,1.18
,17-Mar-23,99.95,99.95,0,10122.66,1062.18,99.75,0,9.05,,0,99.73,100,100,,0.03,0.02,78.5781,1.29
